NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
ROT20200520,Rottnest Island,-32,115.41667,2020-05-20T09:22:00Z,2020,5,20,09:22:00,275482547.690113,6160377.29810997,0,3681657.65024509,51505162.5143184,0,31797790.9095074,0,562283.433562429
DAR20200511,Darwin,-12.4,130.76805,2020-05-12T08:20:00Z,2020,5,12,08:20:00,632824520.4075,5871893.50916667,0,23088487.387,0,0,163986433.9,0,0
YON20200422,Yongala,-19.30847,147.61842,2020-04-22T11:24:00Z,2020,4,22,11:24:00,11282607.1178947,20750918.4529825,32545218.931579,9974603.36561403,13223062.5412281,0,34722688.2947368,22046.2456140351,0
YON20200306,Yongala,-19.30847,147.61842,2020-03-06T10:25:00Z,2020,3,6,10:25:00,28115742.213514,278509.75177305,8679686.78656915,1803629.15248227,1218480.16400709,0,4797045.5575133,0,0
ROT20200304,Rottnest Island,-32,115.41667,2020-03-04T09:25:00Z,2020,3,4,09:25:00,532285150.253742,1068568.02721088,0,6362610.22335601,19935472.2576531,0,3619004.28316327,0,0
NSI20200228,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,370516997.481771,0,2147080.415625,856345.074166667,2225292.91666667,0,1125125,0,0
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,60918468.0071617,1016091.81518152,0,1128069.28052805,388810.643564357,0,118811.881188119,0,0
MAI20200223,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,262192330.110188,6283180,0,2013046572.66833,7984874.58333333,0,20069540,0,0
YON20200212,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,815573744.213807,521761.732036565,116847.91377551,6398318.20493197,17849943.1818182,0,5622448.97959184,0,0
DAR20200204_0630,Darwin,-12.4,130.76805,2020-02-04T16:01:00Z,2020,2,4,16:01:00,939405824.4325,17540544.1666667,0,17797630.9483333,0,0,37398370.5522813,0,0
KAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,286920075.52101,1489300.47785194,0,47726877.6921521,11098929.0722762,0,82645.6310679612,0,0
ROT20200128,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,32126559.6128983,9702039.70075572,0,10303799.2019608,23420758.7826797,0,1707549.12103758,12833.2924836601,2005201.9505719
NSI20200122,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,834769943.0425,0,0,12847846.464,2683441.45833333,0,440000,0,0
YON20200116,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,76318646.8616635,17736120.0441288,260252171.590909,17492759.2076599,3834432.23905724,0,2429277.88383838,0,0
MAI20200106,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,66556285.8445833,7139080.01558333,0,7891335128.61892,29206969.53125,0,3023333.33333333,0,0
NSI20191220,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,1478874996.46745,0,2276559.75149105,1848728.90656064,9466147.80069583,0,38127427.9324056,0,0
