NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,SampleDepth_m,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,Secchi_m,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity,Prochlorococcus_cells_ml,Synecochoccus_cells_ml,Picoeukaryotes_cells_ml,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,TSS_mg_L,InorganicFraction_mg_L,OrganicFraction_mg_L,CTDDensity_kgm3,CTDTemperature,CTDPAR_umolm2s,CTDConductivity_sm,CTDSalinity,CTDChlF_mgm3,CTDTurbidity_ntu
PHB20110329,Port Hacking,-34.11923,151.22667,2011-03-30 09:33:00,100,20,2011,3,30,09:33:00,2011-03-29T22:33:00Z,,,0.9,0.28,0.14,0,,,2002.3,2325.99,35.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.1492,23.7459,,5.238022,35.4614,0.2759,0.0503
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,25,2011,7,18,09:38:00,2011-07-17T23:38:00Z,,,0.9,0.26,0.61,2.6,,,,,35.5,,,,0.119,0,0.162,0,,0.067,0.035,0.014,0,0.046,0.369,0.013,0,0.027,0.012,0.133,0.004,0,0.057,0,0.003,0.042,0,0.003,0.02,0,0,0,0,0.123,0.123,0,1.271,1.271,0,0,0,0,,,0.049,0,,,,,,,,,,
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,40,2011,7,18,09:38:00,2011-07-17T23:38:00Z,,,2.6,0.58,1,8.1,,,2086.47,2324.93,35.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.1417,16.348,,4.471361,35.3956,0.5484,0.4755
NSI20110119,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00,60,0,2011,1,19,10:00:00,2011-01-19T00:00:00Z,,,2.2,0.06,0.25,0,,,1911.3,2237.1,33.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.7,0.5,,,,,,,
PHB20090223,Port Hacking,-34.11923,151.22667,2009-02-24 09:27:00,100,30,2009,2,24,09:27:00,2009-02-23T22:27:00Z,,,2.5,0.67,2.36,5.6,,,,,35.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.6595,17.9933,,4.641449,35.4359,1.639,0.1085
PHB20090223,Port Hacking,-34.11923,151.22667,2009-02-24 09:27:00,100,50,2009,2,24,09:27:00,2009-02-23T22:27:00Z,,,3.5,0.74,0.71,8.2,,,,,35.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.2056,16.3834,,4.480427,35.4405,0.8077,0.1066
YON20091123,Yongala,-19.30847,147.61842,2009-11-23 11:45:00,28.9,20,2009,11,23,11:45:00,2009-11-23T01:45:00Z,,,1.4,0.05,0.07,0,,,1987.41,2299.66,35.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.1057,26.7869,,5.53884,35.3115,0.2503,0.1915
NSI20101115,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00,60,20,2010,11,16,09:30:00,2010-11-15T23:30:00Z,,,1.4,0.02,0.16,0,,,,,35.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0309,23.7649,,5.22295,35.3314,0.1941,0.0745
NSI20101115,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00,60,30,2010,11,16,09:30:00,2010-11-15T23:30:00Z,,,0.4,0.03,0.1,0,,,1999.08,2318.46,35.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.3601,23.059,,5.165327,35.4522,0.1681,0.0671
KAI20111219,Kangaroo Island,-35.83217,136.44733,2011-12-20 09:30:00,110,10,2011,12,20,09:30:00,2011-12-19T23:00:00Z,,,0.3,0.04,0.19,0,,,2082.57,2348.11,35.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.0156,17.5427,,4.633188,35.7671,0.1542,0.093
