NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Abylopsis,Acartia,Acrocalanus,Aetideus,Agalma,Agetus,Amallothrix,Ascampbelliella,Atlanta,Bestiolina,Bougainvillia,Branchiostoma,Brooksia,Calanoides,Calanopia,Calanus,Calocalanus,Candacia,Canthocalanus,Centropages,Clausocalanus,Climacocylis,Clione,Clytemnestra,Codonella,Codonellopsis,Copilia,Corycaeus,Cosmocalanus,Ctenocalanus,Cyttarocylis,Dadayiella,Delibus,Desmopterus,Diacavolinia,Diacria,Dictyocysta,Dioithona,Ditrichocorycaeus,Doliolum,Epiplocylis,Eucalanus,Euchaeta,Eucheilota,Euchirella,Euphysa,Euterpina,Eutima,Eutintinnus,Evadne,Farranula,Favella,Firoloida,Gazelletta,Gladioferens,Goniopsyllus,Haloptilus,Hemicyclops,Heterorhabdus,Hydromyles,Ihlea,Kelleria,Krohnitta,Kuhnia,Labidocera,Leprotintinnus,Limacina,Lubbockia,Lucicutia,Lucifer,Macrosetella,Magelona,Mecynocera,Mesocalanus,Metacalanus,Metridia,Microsetella,Nannocalanus,Nanomia,Neocalanus,Noctiluca,Nyctiphanes,Obelia,Oculosetella,Ocyropsis,Oikopleura,Oithona,Oncaea,Onychocorycaeus,Paracalanus,Paraclione,Paraeuchaeta,Paralovenia,Pareucalanus,Parundinella,Parvocalanus,Pegea,Pelagobia,Penilia,Phaenna,Phalacrophorus,Pleuromamma,Podon,Pontella,Pontellina,Pontellopsis,Pontoeciella,Pseudevadne,Pseudodiaptomus,Rhabdonella,Rhabdosoma,Rhincalanus,Rotalia,Salpingella,Sapphirina,Scaphocalanus,Schizopera,Scolecithricella,Scolecithrix,Scolecitrichopsis,Serratosagitta,Sphaeronectes,Spinoncaea,Stephos,Subeucalanus,Sulculeolaria,Tectillaria,Temora,Temoropia,Thalia,Thysanoessa,Tintinnopsis,Tisbidae,Tomopteris,Tortanus,Triconia,Undella,Undinula,Urocorycaeus,Xystonella,Xystonellopsis,Zoothamnium
NSI20191220,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,0,19.289,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8594,6.4297,0,0,0,0,0,0,12.8593,0,6.4297,0,0,0,0,0,0,0,6.4297,0,0,0,12.8593,0,0,0,25.7187,0,12.8593,0,6.4297,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,77.156,0,0,0,0,0,0,0,0,0,128.5934,0,0,0,90.0154,0,0,0,0,0,372.9209,141.4527,0,25.7187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20191218,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,0,754.4144,0,0,15.717,0,0,0,0,15.717,0,0,0,0,0,0,31.434,0,0,0,471.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.9242,0,0,0,0,0,0,0,0,15.717,31.4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.717,15.717,0,0,0,0,15.717,15.717,0,0,172.8867,0,0,0,0,0,0,0,0,0,377.2073,94.3018,0,31.4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.717,0,0,47.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,0,42.4358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6089,3.5363,3.5363,0,10.6089,0,0,0,0,0,0,3.5363,0,7.0726,3.5363,0,0,0,0,0,0,0,3.5363,109.6259,0,0,0,0,0,0,0,0,0,3.5363,3.5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,3.5363,0,0,0,0,0,21.2179,0,0,0,1598.4157,0,3.5363,0,0,0,385.4586,88.408,0,24.7542,0,0,0,0,0,0,0,0,297.0507,0,0,0,3.5363,0,0,0,0,10.609,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,0,3.5363,0,0,0,0,3.5363,0,0,0,0,0,0,0,0,0,0,0,7.0726,0,0
MAI20191210,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,0,23.5755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7151,0,0,0,42.4358,0,0,0,0,0,0,0,0,9.4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.8886,0,0,42.4358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4302,0,0,0,0,0,0,0,0,0,0,0,0,0,1343.8008,4.7151,0,0,0,0,697.8335,0,0,18.8604,0,0,0,0,0,0,0,0,0,0,0,0,75.4415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20191202,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,0,17.6816,8.8408,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8408,0,0,70.7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5224,17.6816,0,0,0,0,0,0,141.4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7711,0,0,0,0,17.6816,0,0,0,0,318.2686,0,0,0,0,0,0,0,0,0,1158.1442,114.9304,0,53.0448,0,0,0,0,0,70.7264,0,0,17.6816,0,0,0,0,0,0,0,0,35.3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,0,1.4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4145,0,1.4145,9.9017,0,0,0,0,0,0,0,0,1.4145,0,0,0,0,0,0,0,0,2.829,76.3845,0,0,0,0,0,0,5.6581,0,0,1.4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8203,0,0,0,49.5085,0,0,0,0,0,59.4101,48.0939,0,2.829,0,0,0,0,0,0,0,0,4.2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6581,0,0,0,0,0,0,1.4145,0,0,0,0,0,0,0
ROT20191126,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,0,95.4805,0,0,0,0,0,0,0,14.1453,0,0,0,0,0,0,0,3.5363,0,0,28.2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,3.5363,0,0,0,0,0,0,28.2905,0,0,7.0726,3.5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,0,0,0,24.7542,24.7542,0,3.5363,0,0,0,0,0,0,0,0,35.3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,0,18.8604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8604,0,0,0,0,0,0,0,0,9.4302,0,0,0,0,0,0,0,0,0,4.7151,0,0,0,0,0,0,4.7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8604,0,0,0,0,0,4.7151,0,0,0,18.8604,0,0,0,51.866,0,0,0,0,0,1584.2705,9.4302,0,18.8604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7151,0,0,0,0,0,0,0,0,0,0,0,0
PHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,0,53.0448,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,3.5363,7.0726,0,0,3.5363,0,0,0,0,0,0,3.5363,0,7.0726,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,3.5363,0,0,53.0447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,56.581,0,0,0,2188.9808,0,0,0,0,0,512.7661,116.6984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6816,0,0,0,0,10.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2905,0,0,17.6816,0,3.5363,0,0,0,0,0,0,0,0,0,0,0,0
YON20191107,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,0,53.0448,53.0448,0,0,0,0,0,0,0,0,0,0,0,35.3632,0,0,17.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.816,0,0,0,0,0,0,0,141.4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.1791,0,0,17.6816,17.6816,0,0,0,0,0,919.4426,0,0,0,0,0,0,0,0,0,2192.5172,194.4975,0,53.0448,0,0,0,0,0,724.9451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
