FID,id,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Amphipod,Appendicularian_Fritillariidae,Appendicularian_Oikopleuridae,Appendicularian_Other,Ascidian,Brachiopod,Bryozoan,Cephalochordate_Branchiostomatidae,Cephalopod,Chaetognath,Ciliophora_Tintinnid,Cirripedia,Cladoceran,Cnidarian_Medusae,Cnidarian_Other,Cnidarian_Siphonophore,Coelenterate,Copepod_Bivalvia,Copepod_Calanoid,Copepod_Cyclopoid,Copepod_Harpacticoid,Copepod_Other,Copepod_Poecilostomatoida,Copepod_Siphonostomatoida,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Fish_Egg,Forams,Hemichordata,Isopod,Mollusc_Bivalvia,Mollusc_Gastropod,Mysida,Nematode,Nemertean,Noctilucaceae,Ostracod,Phoronid,Platyhelminthes,Polychaete,Polychaete_Trochophore,Radiozoa,Sipunculid,Thaliacean_Doliolidae,Thaliacean_Other,Thaliacean_Salpidae,Thecostraca,Urochordata,geom
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b10,694,Port Hacking 4,-34.1176,151.2182,2002-12-18T00:00:00Z,2002,12,18,00:00:00,0,18.1868,363.7356,0,0,0,0,0,0,36.3736,0,18.1868,172.7744,27.2802,0,0,0,0,1718.6508,1082.1133,200.0546,0,572.8835,0,0,0,0,0,36.3736,0,0,0,0,0,0,45.4669,336.4554,0,0,0,272.8017,0,0,0,45.4669,0,0,0,27.2802,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0f,695,Port Hacking 4,-34.1176,151.2182,2003-01-20T00:00:00Z,2003,1,20,00:00:00,15.9134,95.4806,111.394,0,0,0,0,0,0,31.8269,0,0,1877.7848,79.5672,0,0,0,0,3898.7903,986.6328,79.5671,0,445.5761,0,0,0,0,15.9134,0,0,0,0,0,0,0,0,222.788,0,0,0,15101.8457,15.9134,0,0,0,0,0,0,31.8269,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0e,696,Port Hacking 4,-34.1176,151.2182,2003-02-11T00:00:00Z,2003,2,11,00:00:00,0,0,165.4997,0,0,0,0,0,0,25.4615,0,12.7307,2304.2649,25.4615,0,12.7307,0,0,5716.104,1654.9967,267.3455,0,509.2298,0,0,0,12.7307,25.4615,50.923,0,0,0,0,0,0,127.3074,687.4602,0,0,0,17301.082,12.7307,0,0,89.1152,0,0,0,547.422,0,12.7307,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0d,697,Port Hacking 4,-34.1176,151.2182,2003-03-19T00:00:00Z,2003,3,19,00:00:00,18.1868,127.3074,1736.8373,0,0,0,0,0,0,45.4669,0,0,245.5215,18.1868,0,18.1868,0,0,4600.2441,385.9638,232.3865,0,258.6563,0,0,0,0,0,9.0934,0,0,0,0,0,0,27.2802,72.7471,0,0,0,20660.1797,0,0,0,63.6537,0,0,0,36.3736,0,9.0934,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0c,698,Port Hacking 4,-34.1176,151.2182,2003-04-23T00:00:00Z,2003,4,23,00:00:00,12.7307,0,330.9994,0,0,0,0,0,0,114.5767,0,0,38.1922,0,0,12.7307,0,0,3220.8779,916.6136,394.653,0,700.1909,0,0,0,50.9229,50.923,114.5767,0,0,0,0,0,0,25.4615,241.8841,0,0,0,12.7307,50.923,0,0,12.7307,0,0,0,38.1922,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0b,699,Port Hacking 4,-34.1176,151.2182,2003-05-30T00:00:00Z,2003,5,30,00:00:00,0,0,227.3347,0,0,0,0,0,0,9.0934,0,0,9.0934,9.0934,0,9.0934,0,0,2773.4839,1127.5803,118.2142,9.0934,572.8834,0,0,0,18.1868,9.0934,481.9496,0,0,9.0934,0,0,0,0,318.2686,0,0,0,0,27.2802,0,0,0,0,0,0,0,0,9.0934,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0a,700,Port Hacking 4,-34.1176,151.2182,2003-06-30T00:00:00Z,2003,6,30,00:00:00,0,12.7307,50.923,0,0,0,0,0,0,76.3845,0,63.6537,76.3845,19.0961,0,12.7307,0,0,1591.3433,802.0369,57.2883,0,668.3641,6.3654,0,0,25.4615,127.3074,25.4615,0,0,0,0,0,6.3654,0,25.4614,0,0,0,0,12.7307,0,0,63.6537,0,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b09,701,Port Hacking 4,-34.1176,151.2182,2003-07-21T00:00:00Z,2003,7,21,00:00:00,0,50.923,222.788,0,0,0,0,0,0,44.5576,0,12.7307,483.7683,50.923,0,0,0,0,1839.5927,579.2489,254.6148,0,719.2872,0,0,0,19.0961,133.6728,12.7307,0,6.3654,0,0,0,6.3654,12.7307,95.4806,0,0,0,25.4615,0,0,0,76.3845,0,0,0,6.3654,0,12.7307,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b08,702,Port Hacking 4,-34.1176,151.2182,2003-08-18T00:00:00Z,2003,8,18,00:00:00,0,70.0191,362.8262,0,0,0,0,0,0,31.8269,0,12.7307,311.9032,6.3654,0,19.0961,0,0,1587.0997,867.8124,50.923,0,356.461,0,0,0,0,6.3654,0,0,6.3654,0,0,0,0,6.3654,82.7498,0,0,0,3411.8396,0,0,0,6.3654,6.3654,0,0,401.0185,0,6.3654,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b07,703,Port Hacking 4,-34.1176,151.2182,2003-09-11T00:00:00Z,2003,9,11,00:00:00,0,0,47.7403,0,0,0,0,0,0,31.8269,0,31.8269,1034.373,127.3075,0,0,0,0,4495.5439,1742.5208,350.0955,0,358.052,0,0,0,0,509.2298,47.7403,0,31.8269,0,0,0,0,31.8269,572.8836,0,0,0,39162.9531,0,0,0,0,15.9134,0,0,79.5672,0,63.6537,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b06,704,Port Hacking 4,-34.1176,151.2182,2003-10-27T00:00:00Z,2003,10,27,00:00:00,0,47.7403,79.5672,0,0,0,0,0,0,63.6537,0,15.9134,254.6149,0,0,0,0,0,3914.7041,2721.1968,222.7879,47.7403,1034.373,0,0,0,79.5672,31.8269,0,0,0,0,0,0,0,127.3074,111.394,0,0,0,7017.8232,0,0,0,95.4806,0,0,0,47.7403,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b05,705,Port Hacking 4,-34.1176,151.2182,2003-11-14T00:00:00Z,2003,11,14,00:00:00,0,0,47.7403,0,0,0,0,0,0,47.7403,0,15.9134,31.8269,15.9134,0,0,0,0,2625.7161,891.1521,270.5283,63.6537,1257.1611,0,0,0,0,15.9134,15.9134,0,0,0,0,0,0,63.6537,286.4418,0,0,0,4153.4053,0,0,0,0,0,0,0,222.788,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b04,706,Port Hacking 4,-34.1176,151.2182,2003-12-10T00:00:00Z,2003,12,10,00:00:00,0,127.3074,620.6238,0,0,0,0,0,0,31.8269,0,31.8269,2689.3699,190.9611,0,0,0,0,2121.7913,1225.3342,148.5253,15.9134,201.5703,0,0,0,0,0,15.9134,0,0,15.9134,0,0,0,79.5672,143.2208,0,0,0,41295.3516,15.9134,0,0,0,15.9134,0,0,31.8269,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b03,707,Port Hacking 4,-34.1176,151.2182,2004-01-20T00:00:00Z,2004,1,20,00:00:00,0,0,588.7969,0,0,0,0,0,0,47.7403,0,0,1686.8237,63.6537,0,15.9134,0,0,4179.9282,1161.6805,482.7075,47.7403,885.8479,0,0,0,15.9134,0,47.7403,0,0,0,0,0,0,79.5672,95.4806,0,0,0,4853.5962,0,0,0,0,0,0,0,334.182,0,175.0477,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b02,708,Port Hacking 4,-34.1176,151.2182,2004-02-11T00:00:00Z,2004,2,11,00:00:00,0,84.8716,753.2357,0,21.2179,0,0,0,0,0,0,0,3575.2175,53.0448,0,0,0,0,2673.4563,256.7368,337.3646,0,229.1535,0,0,0,0,0,21.2179,0,10.609,0,0,0,0,0,10.609,0,0,0,29800.5508,0,0,0,0,0,0,0,84.8716,0,42.4358,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b01,709,Port Hacking 4,-34.1176,151.2182,2004-03-26T00:00:00Z,2004,3,26,00:00:00,0,53.0448,509.2298,0,0,0,0,0,0,53.0448,0,0,233.397,31.8269,0,0,0,0,3978.3579,753.2358,222.7881,0,922.979,0,0,0,0,0,148.5254,0,0,21.2179,0,0,10.609,148.5254,190.9612,0,0,0,74.2627,0,0,0,74.2627,0,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
