NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
MAI20180919,11251,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00
MAI20181204,11362,Maria Island,-42.59667,148.23333,2018-12-05 09:10:00
PHB20180927,11475,Port Hacking,-34.11923,151.22667,2018-09-27 10:43:00
YON20190213,11592,Yongala,-19.30847,147.61842,2019-02-13 10:26:00
NSI20200528,13067,North Stradbroke,-27.345,153.562,2020-05-28 11:00:00
MAI20200810,13185,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00
MAI20120222,82,Maria Island,-42.59667,148.23333,2012-02-22 11:00:00
YON20110811,85,Yongala,-19.30847,147.61842,2011-08-11 11:00:00
NSI20110727,88,North Stradbroke,-27.345,153.562,2011-07-28 09:30:00
PHB20091011,90,Port Hacking,-34.11923,151.22667,2009-10-12 09:28:00
NSI20100711,99,North Stradbroke,-27.345,153.562,2010-07-12 08:45:00
NIN20110209,103,Ningaloo,-21.99,113.779,2011-02-09 10:15:00
ROT20110324,113,Rottnest Island,-32,115.41667,2011-03-24 09:35:00
PHB20100908,124,Port Hacking,-34.11923,151.22667,2010-09-09 09:30:00
MAI20111214,134,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00
DAR20121029,1536,Darwin,-12.4,130.76805,2012-10-30 07:51:00
ROT20121019,1565,Rottnest Island,-32,115.41667,2012-10-19 09:54:00
MAI20130313,1765,Maria Island,-42.59667,148.23333,2013-03-14 10:00:00
PHB20130227,1801,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00
ESP20130725,3087,Esperance,-33.93333,121.85,2013-07-25 09:57:00
ROT20130517,3108,Rottnest Island,-32,115.41667,2013-05-17 10:00:00
NSI20131016,3188,North Stradbroke,-27.345,153.562,2013-10-16 10:40:00
PHB20131020,7043,Port Hacking,-34.11923,151.22667,2013-10-21 09:36:00
KAI20140122,5622,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00
KAI20140507,5731,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00
PHB20140612,5773,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00
ROT20140519,5843,Rottnest Island,-32,115.41667,2014-05-19 12:22:00
YON20140122,5044,Yongala,-19.30847,147.61842,2014-01-22 10:00:00
MAI20140915,6692,Maria Island,-42.59667,148.23333,2014-09-16 09:20:00
ROT20141119,6994,Rottnest Island,-32,115.41667,2014-11-19 10:16:00
NIN20120827,1723,Ningaloo,-21.99,113.779,2012-08-27 08:05:00
