SAMPLE,BIOMASS_MG_M3
298-13,5.8
298-21,6.5333
240-9,8.1333
298-37,5.6667
298-33,4.9333
299-21,1.2
299-29,1
305-5,9.5333
305-89,11.4667
296-49,1.0667
308-5,1.6
308-25,0.6
304-1,1.4
306-5,0.4667
302-33,2
302-73,1.9333
302-85,4.6667
242-21,15.6667
306-61,1.8
325-21,1.4
325-13,0.6
325-25,0.5333
325-17,0.4667
324-61,0.4
322-5,4.2
346-9,0.8
346-17,1.2
346-29,1.3333
346-49,2.4
346-81,5.2
322-73,4.8667
245-49,2.6
245-1,1.2667
367-65,15.1333
360-81,2.8667
366-45,1.9333
366-81,4.8667
365-21,4.2667
365-57,1.6
358-5,2.6667
358-45,4.6667
358-49,2.5333
358-81,21.9333
358-93,14.3333
254-21,11.5333
213-9,19.6
213-1,6.2667
213-69,2.9333
297-13,3.6
297-17,1.9333
324-33,0.6667
343-25,2.6667
343-37,2.8
343-41,7.8
333-21,2.1333
214-61,2.9333
214-73,5.2667
385-29,7.5333
385-45,2.8
385-57,1
385-69,0.7333
381-1,13.2
381-9,23.0667
384-1,1.4
384-17,0.8667
384-37,11.6
392-17,10
240-41,7.3333
240-45,4.3333
307-1,3.7333
307-17,3.0667
325-45,0.7333
309-45,4.4
323-69,3.3333
332-9,1
332-45,10.5333
332-77,6.1333
330-1,2.8667
330-17,7.2
330-33,4.5333
330-73,1.8
316-21,3.6
315-33,0.5333
359-1,4.4
321-41,15.0427
321-57,0.7487
350-21,2.6
360-1,3.6
349-5,1.4
349-9,1
349-33,2.2
344-41,5.2667
354-13,4.8
212-25,1.1333
212-45,1.6667
178-53,1.8667
178-73,8
211-37,32.7333
64-25,1.8667
270-25,4.0667
268-5,6.6
239-33,2.7333
244-65,7.8
297-25,8.1333
269-9,8.7333
416-45,12.8667
390-25,5
390-5,6.7333
390-1,4.9333
426-45,4.4
427-45,5.8667
422-29,2.9333
422-33,2.3333
445-61,6.4667
445-1,4.7333
298-57,3.6667
308-37,0.8
306-73,1.7333
322-29,3.3333
322-41,0.9333
309-5,7.3333
332-33,3.8667
316-29,7.2667
315-25,1.1333
350-37,2.8
350-69,1.3333
321-77,1.021
350-9,1.2667
350-5,0.6
359-33,32.7333
359-57,4.6
245-13,2
372-21,0.9333
336-1,7.2
336-17,17.8667
362-1,0.7333
362-25,2.4667
362-41,2.2667
362-45,3.4667
311-45,7
358-13,4.0667
358-25,3.1333
373-5,1.9333
373-9,2.0667
373-33,1.8
373-41,2.7333
373-101,1.4
311-1,4.6
311-29,3.9333
339-13,8.4
241-5,3.6667
241-9,1.9333
241-17,1.8667
241-25,5.0667
241-29,11.1333
241-33,22.2
241-49,3.2
241-57,5.5333
214-1,2.4
214-25,3.9333
9-2,1.2667
9-14,3.4667
83-38,2.4667
3-82,1.2
66-2,4.8
66-10,1.2
82-26,3.6
82-30,0.7333
8-38,0.2
6-30,1.9333
19-14,2.4667
100-90,3.0667
100-94,1.6667
14-30,0.2
43-50,1.3933
51-46,2.4
82-34,0.4667
6-42,1.4667
19-38,6.1333
45-18,2.5333
83-62,2.6
12-30,1.8
51-50,5.4667
6-86,1.8
13-66,0.4
3-38,1.2667
14-2,0.9333
82-58,0.4667
2-66,3.4
4-2,2.4775
69-22,7.6667
77-18,0.2667
77-74,0.8
5-22,5.4
7-18,2.5572
7-26,2.4862
43-66,5.5
4-38,2.1944
69-58,10.4
108-42,2.4913
14-86,1.2667
51-14,2.8
51-42,7.3333
4-34,6.0169
45-58,0.8
5-6,3.8667
5-18,4.7333
14-22,0.0667
51-38,4.3333
2-94,4.4
8-6,2.6
13-14,1.3333
19-78,9
45-34,2.8
83-2,2.8667
1-27,2.3333
14-10,0.2
431-61,3.8
431-69,4.2667
392-65,4.5333
400-13,2.5333
402-69,13.0667
402-81,2.7333
404-13,15.0667
404-33,24.1333
404-85,4.4
408-49,2.8
408-61,5.6667
408-65,3.4
408-73,4.8
408-77,1.4667
381-53,14.8667
398-1,14.6667
398-21,5.2667
398-33,8.9333
398-45,5.4667
398-69,4.4667
112-9,4.3333
112-33,2.5333
112-49,1
112-57,2.4667
112-69,3.2
265-1,0.4667
265-5,1
265-9,1
207-81,1.5333
389-1,6.1333
389-29,7.0667
389-45,9.7333
412-41,1.2667
249-17,1
249-53,2.4667
249-61,2.2
413-17,3.0667
413-25,3
413-41,7.4667
414-17,22.6667
414-21,23.0667
414-25,12.0667
414-41,4.6667
414-69,2.8667
414-73,2.6
414-85,5.4
415-17,1.3333
390-57,4.6667
390-53,7.9333
390-29,7.4
422-45,10.0667
415-65,3.1333
415-73,2.8667
416-49,3.9333
418-21,4.8667
438-9,9.3333
438-45,7.5333
438-73,1.6667
432-65,5.4
417-9,1.4667
428-1,0.3333
417-33,6.0667
432-5,2
422-5,7.6667
467-41,4.5333
469-5,14.4
494-9,3.4
519-57,5.9333
455-53,4.6
452-61,3.6667
443-9,1.3333
448-29,4.8667
448-45,13.4
454-29,14
457-57,2.6
452-21,3.6667
451-17,5.8
451-45,7.2
451-77,6.9333
450-53,14.7333
458-9,2.3333
467-65,11.2667
467-61,11.8
468-41,21.8667
482-29,1.5333
482-37,3.8
482-45,5.2667
483-9,5.3333
483-25,2.1333
483-33,2.2667
483-53,6.7333
513-21,3.2667
513-73,8.2
514-21,5
490-13,2.5333
498-5,1.8
519-33,1.4
537-69,13.9333
537-81,5.8
536-45,7.3333
536-73,5.4667
535-21,5.46
535-65,21.24
535-61,7.62
535-81,6.96
521-13,9.6667
521-25,6
521-49,5.6
518-9,16.0667
518-25,8.9333
518-45,4.8667
518-97,4.2667
518-101,2.4667
520-49,16.1333
520-53,11.8667
520-61,3.8667
442-65,4.6
424-17,1.9333
455-33,23.4667
456-41,6.8667
458-41,3.5333
459-13,1.6
505-1,6.9333
469-29,10.1333
482-93,3.6
517-9,2.7333
516-17,2.6
516-37,4.2667
516-57,3.0667
516-61,4.0667
478-13,8
479-1,13.7333
464-49,3.9333
464-53,3.5333
467-45,2.4667
494-5,1.8
492-5,0.8667
493-5,2.2
505-41,2
505-57,7.2667
454-69,10.2667
454-73,19.4
454-77,19.2667
457-5,2.1333
457-29,5.4667
514-45,11.1333
514-69,11.4667
485-8,0.9333
467-5,3.5333
467-17,2.3333
480-61,2.8667
481-17,15.1333
481-49,6.4
481-57,10.8667
500-13,1.1333
501-9,1.3333
502-1,1.5333
213-93,13.6
206-53,23.6667
206-65,9.0667
211-57,34.4667
65-17,3.3333
211-21,45.3333
211-25,46.3333
268-57,2.4667
239-1,0.8
239-41,17.5333
244-5,5.9333
244-57,1.8
65-45,7.2
297-5,2.6667
297-29,9.8
297-65,5.5333
300-13,2.7333
300-17,1.2
300-81,1.0667
269-33,5.8
269-37,6.1333
269-65,22.0667
240-21,11
299-17,1.4667
299-33,1.4667
299-81,6.4667
296-41,4.2
305-37,0.7333
305-65,6.9333
305-69,1.1333
308-17,1.9333
308-69,0.4
302-1,3.6
304-29,7.2667
306-17,3.7333
302-21,3.5333
242-9,11.2667
306-81,2.3333
301-41,2
325-37,1.5333
324-77,1.6
346-1,0.3333
322-57,3.0667
328-5,6.8667
328-25,9.5333
332-49,9.8
367-69,0.5333
364-45,33.3333
364-17,5.7333
366-1,0.6667
366-9,1.3333
365-29,7
365-61,1.8
358-9,4.4667
336-21,8.3333
336-29,5.8667
358-69,3.2667
358-89,6.6
339-25,15.8667
254-1,0.7333
254-9,1.9333
254-17,10.9333
178-1,5.0667
213-13,5
324-1,544
343-53,6.4667
343-61,3.2667
333-29,6.3333
214-57,7.8
385-5,5
385-49,2.1333
384-29,10.7333
392-41,22
240-33,1
307-37,3.2
325-49,2.6667
325-53,2.2667
323-45,0.5333
332-65,10.2
330-25,10
330-53,1.0667
330-57,0.9333
316-65,5.8667
316-25,2.8
315-21,13.7333
321-81,1.2252
359-45,12.6667
349-1,1.7333
349-25,1.3333
349-29,2.2667
349-49,0.4667
349-57,1.6667
344-33,13.9333
344-37,9.8667
354-1,1.6
354-17,7.3333
354-49,5.6
354-57,2.6667
212-41,1.2667
178-33,1.3333
211-53,28.9333
270-21,5.4667
270-37,2.8667
211-1,13.1333
271-69,12.6
268-65,2.6
268-69,10.1333
239-9,5.3333
239-17,4.8
239-21,11.6
239-57,9.8
244-29,4.4667
300-9,1.7333
298-5,6.6
415-29,1.0667
415-77,2.2667
416-33,3.5333
416-73,1.4667
426-1,1.4
427-1,2.4
427-29,2.0667
422-41,5.2
422-65,5.6
431-13,3.3333
423-37,10.1333
298-77,3.6667
298-85,5.0667
242-1,2.8
296-21,1.2667
296-17,0.9333
296-25,3.3333
308-45,1.5333
306-45,1.1333
306-65,4.2
348-29,1.6667
322-25,3.2
328-49,3.3333
309-17,4.9333
323-53,1.5333
316-41,6.3333
321-5,0.4765
321-21,3.5395
350-41,2.0667
350-49,0.7333
359-17,6.0667
321-61,0.9529
321-65,1.5655
359-65,2.6667
360-45,36.3333
344-13,3.2667
344-73,1.3333
344-81,1.2667
245-93,1.9333
360-53,42.2667
372-1,1.6667
372-17,0.6667
372-9,29.7333
336-13,14.4
336-9,17.9333
362-53,2.7333
362-65,4.8667
358-21,0.7333
373-29,1.1333
373-89,1.8
339-45,8.2
241-37,10.9333
339-57,12.8667
214-33,2.0667
13-38,3.4667
15-54,1.5333
15-74,5.4667
19-22,3.5333
69-54,4.0667
100-58,0.5333
108-50,4.9827
136-2,1.4667
7-2,4.9013
12-18,0.3333
18-34,3.2
98-14,2.4667
13-22,1.6667
15-62,3.4
77-78,2.1333
77-90,0.6
83-30,1.4
82-10,2.1333
98-38,1.3333
8-42,1.0667
4-70,0.1416
13-6,1.9333
69-46,15.0667
83-66,3.4667
1-34,2.1333
18-18,0.8
135-22,3.5333
135-42,1.9333
69-14,10.8667
69-82,4.0667
1-19,0.6667
3-62,1.6
12-58,2.3333
14-38,0.2
82-74,1.5333
98-34,2.5333
135-26,2.0667
2-46,2.2
15-2,1.2
3-22,1.9333
3-54,3.2667
18-50,5.1333
66-82,10.2
19-42,14.1333
100-10,3.0667
136-34,14.4
66-14,1.5333
82-78,5
2-98,2.8
4-74,1.8405
45-70,0.5333
83-22,0.9333
3-26,3.0667
3-30,2.3333
7-30,2.202
12-46,5.4667
43-6,5.3533
135-6,2
135-18,0.9333
2-2,1.1333
2-74,3.7333
8-66,2.3333
15-6,1.2667
15-30,0.6
15-50,0.3333
69-18,10.4
69-70,0.7333
18-22,1.6
66-78,4
431-73,5.9333
392-49,4.0667
392-53,2.2
392-81,10.5333
392-77,24.6
400-25,19.4667
402-5,1
402-17,5.8667
402-45,15.4
403-1,0.4667
403-5,0.1333
403-9,0.6667
403-33,35.4
403-53,5.1333
404-9,11.2
404-65,30.6667
408-17,11.9333
398-65,5.5333
112-1,2.4667
112-29,2.1333
112-65,2
265-21,2.3333
265-25,1
265-69,3.8667
207-13,0.1333
207-33,2.6667
207-73,7.6
389-37,12.2
389-57,3.6667
412-9,0.8667
412-29,2.2667
412-33,1
264-5,12.0667
264-9,1.4667
249-21,1.8667
249-41,0.7333
413-1,3
413-49,5.8
414-57,1.1333
415-5,1.3333
422-57,8.2
416-29,2.6
416-69,2
438-49,5
428-13,2.3333
428-45,7.0667
428-77,2.4667
445-37,5.2
445-29,2.6667
417-41,2.1333
445-49,5.8667
431-5,3.4667
432-13,4.5333
432-21,5.1333
432-37,6.6
423-17,4.7333
423-1,1.8
467-37,1.8667
266-5,3.8
467-81,5.2667
467-86,13.8
468-49,6.9333
469-13,7.2
455-57,9.1333
452-45,2.2667
443-21,1.2667
443-37,6.5333
446-33,8.1333
448-17,5.7333
448-33,5.5333
449-37,2.8667
449-41,2.8667
457-49,3.4667
451-13,8.4
451-25,2.7333
450-13,1.3333
450-25,1.9333
450-37,2.8667
450-49,561.6
464-29,2.8667
482-33,3.9333
483-13,4.4667
513-33,3
513-57,5.8
514-13,8.2
490-9,3.4667
519-5,0.9333
536-53,2.9333
535-49,2.16
535-57,1.74
535-77,5.76
518-89,5.0667
520-29,2.4
520-33,1.1333
520-41,5.8
520-45,16
441-61,1.3333
441-65,4.4
441-69,2.1333
442-45,6.9333
424-25,1.9333
455-1,4.6
456-13,9.6
456-21,14.7333
465-9,1.7333
505-9,38.3333
469-53,6.0667
469-61,12.8
469-85,3.0667
482-53,3.2
482-65,3.1333
482-69,2.9333
482-89,2.8
519-77,2.6667
517-5,2.7333
517-57,4
517-69,3.3333
516-13,3.3333
516-33,4.4667
516-65,5.7333
516-77,4.3333
504-17,1.0667
446-13,1.8667
453-9,5.6
454-1,9.7333
454-5,10.0667
454-9,10.5333
449-13,4.7333
449-49,8.2667
478-17,17.9333
478-25,9.4
391-9,2.4667
391-21,10
489-1,0.3333
489-5,1.8
496-5,1.9333
533-45,9.7998
537-41,10.2667
537-45,13.4
537-49,6.0667
442-1,1.3333
457-9,2.1333
457-37,4.4667
514-65,5
485-4,0.4667
467-1,1.8667
467-13,2.1333
468-1,2.3333
468-17,3.0667
480-45,5.8
481-5,6.6667
481-29,8.4
497-5,1.9333
500-1,1.2667
500-5,1
178-5,10.0667
206-13,6.2
206-25,9.6667
206-29,17.6667
211-9,9.1333
271-21,2.0667
239-45,13.0667
268-73,26.5333
244-61,4.5333
65-21,0.8
297-49,9.0667
297-73,7.4
300-21,2.4
300-37,1
300-69,1.2667
269-41,3.6
269-69,16.2
240-1,0.7333
240-13,2.7333
299-5,1.3333
299-41,5.7333
299-53,3
299-65,1.4667
299-73,7.9333
305-33,10.1333
305-41,6.2667
308-53,0.2667
308-85,2.6
304-25,6.6
304-61,12.2
304-69,8.8667
304-73,8.6667
302-5,7
302-29,3.3333
302-45,6.8667
302-49,8.8667
302-89,3
306-77,2.0667
301-5,3.2
301-33,2.2
301-57,0.3333
324-57,0.2667
324-65,1.0667
346-13,1.4667
346-21,0.7333
346-37,1.6
346-53,4.4
346-77,1.8
322-49,1.7333
322-81,11.1333
367-21,0.0667
367-37,2.2667
367-49,1
367-53,4.3333
367-81,6.6
360-65,3.0667
364-37,3.6
364-33,6.9333
366-77,1.2
365-13,6
365-17,3.8
365-25,7.7333
365-9,5.7333
365-65,2
362-89,7.9333
358-77,12.3333
339-21,10.2
254-5,6.7333
213-73,3.0667
324-25,1.2
343-9,5.7333
343-13,4.8
343-17,2.9333
366-49,0.7333
214-49,13.6
214-53,5.2667
214-69,5.4
214-77,3.6
385-61,1.2
381-13,13.6
384-5,3.2
384-21,3.5333
384-33,14.3333
392-29,19
392-33,32.8
392-37,23.3333
269-17,6.6667
240-37,2.2
307-25,2.1333
307-29,2.4667
307-49,2.6667
307-57,3.1333
308-61,2.6
325-61,1.6667
309-41,1.9333
309-53,3.1333
323-9,2
332-1,0.2667
332-29,9.0667
330-21,8.4
330-69,0.8
330-85,2.2
316-77,0
316-49,6.9333
315-53,0.8
321-25,10.8226
350-65,2.2
343-29,1.9333
359-37,3.3333
359-41,11.2
360-5,6
344-45,5
344-53,2.0667
354-5,1.5333
354-29,4.6
354-45,3.7333
212-9,2
212-13,1.5333
178-45,2.2
178-49,1.3333
206-49,23.9333
206-61,7.8
211-49,21.7333
270-57,6.3333
270-69,4.2
270-77,2
270-89,1.3333
211-13,16.6
268-25,7.7333
297-9,10.7333
269-5,3.4667
300-5,1.8667
269-21,3.7333
298-41,2.4667
416-1,3.1333
416-61,8
390-13,22.5333
427-21,1.8
427-25,13.3333
298-69,5.3333
296-13,2
306-53,2.2667
301-45,0.8667
301-53,0.8
348-1,1.5333
309-29,6.3333
332-41,3.0667
315-5,1.9333
321-13,0.5445
350-57,1.2667
359-9,9.7333
359-49,8.8667
360-13,2.1333
360-49,35.6667
344-1,2.4667
344-5,7
344-17,6.7333
344-25,8.1333
344-69,2.2667
245-33,4.8667
360-89,2.1333
372-5,27.3333
372-25,0.6
362-17,1.9333
362-49,7.8667
362-61,4.4667
362-81,2.8
336-37,3.6667
358-113,4.0667
373-57,1.2
373-17,2.6
373-93,1.0667
311-5,6.4
373-117,1.7333
339-17,11.4
241-65,2.8
241-73,1.2
214-21,3.2
214-29,0.4
214-37,3.1333
214-41,4.6
2-10,1.6
19-30,6.9333
19-46,8.2667
100-26,1.6
108-10,1.818
3-2,0.4667
51-2,13.0667
2-102,10.6667
77-2,4.8667
100-2,1.1333
100-54,0.5333
108-82,1.212
3-50,1.6
3-74,10.1333
18-26,1.4667
8-46,1.4667
4-54,4.0348
6-82,2.4
13-70,2.6667
19-74,5.8667
3-14,1.4
7-54,1.1365
12-42,2.9333
51-6,7.0667
51-34,2.1333
66-42,3.0667
82-6,6
2-42,1.2667
19-58,3.6
83-14,1.6667
108-94,2.424
43-62,2.0533
51-10,5.6667
51-26,2.4667
82-50,2.5333
6-50,2.9333
6-62,3.5333
13-46,3.6
15-66,1.1333
45-2,1.5333
77-66,2.3333
3-46,1.2
5-2,4.7333
14-54,1.8
14-66,0.1333
82-42,3.4
135-10,1.6667
2-82,0.5333
6-26,2
69-42,30.3333
77-50,0.5333
2-14,0.5333
2-34,1.3333
19-54,5
69-34,22.8667
83-10,1.1333
108-70,4.242
1-10,4
7-14,5.3985
18-38,1.4667
51-62,3.6667
98-22,5.0667
2-70,1.1333
77-42,0.1333
108-2,0.808
43-34,2.0533
43-54,2.7133
2-54,-0.0667
2-58,0.5333
402-29,8.1333
404-5,15.1333
404-61,31.5333
404-69,26.6
404-49,14.8
404-53,14.2667
381-41,10.7333
408-1,2.8667
408-21,7.4667
381-45,12.9333
381-61,12.8667
398-37,4
112-5,2.7333
112-53,1.2667
112-61,2.2667
265-53,1.4
265-65,1.1333
207-1,0.0667
207-53,0.6667
389-25,2.4
412-13,0.7333
412-53,3.6
412-57,1.5333
249-29,0.4667
249-33,0.4
249-45,1.2667
249-49,2.4667
413-5,3.4
413-21,2.6
413-33,4.4
413-53,0
413-65,10
413-73,6.8667
414-29,10.6
414-33,3.2
414-45,3.6667
414-77,1.8667
417-21,0.8667
418-29,3
418-33,6.5333
438-57,13.7333
428-25,5.2667
423-53,9.8667
445-25,1.5333
418-5,3.9333
431-1,1.2
432-1,1
432-29,2.5333
432-33,0.6667
422-1,4.2
422-9,7.1333
417-25,10.9333
418-9,1.6
423-21,2.2667
449-1,3.3333
458-5,3.2667
494-13,2.9333
519-49,18
455-49,7.6
452-41,2
451-1,2.3333
496-9,1.6
442-33,14.3333
443-17,1.1333
443-61,9.7333
453-13,10.9333
446-53,8.5333
448-13,7.0667
