NRS_TRIP_CODE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NITRITE_UMOL_PER_L,NITRITE_FLAG,TCO2_UMOL_PER_KG,CARBON_FLAG,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,OXYGEN_UMOL_PER_L,OXYGEN_FLAG
NRSPHB20140120,10,35.576,1,0,1,0,1,0.08,1,0.03,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20140205,75,35.221,1,1.3,1,2.3,1,0.3,1,0.07,1,(null),9,2094.3,1,2321.38,1,233.8,1
NRSKAI20130506,30,36.01,1,(null),9,(null),9,(null),9,(null),9,(null),9,2093.68,1,2364.49,1,(null),9
NRSNSI20120806,10,35.471,1,0.3,1,0,1,0.1,1,0.17,1,(null),9,2009.12,1,2321.54,1,(null),9
NRSROT20120523,0,35.22,1,2.4,1,0.2,1,0.04,1,0.08,1,(null),9,2007.11,1,2309.77,1,(null),9
NRSNSI20120229,0,34.988,1,2.4,1,0,1,0.08,1,0.05,1,(null),9,1965.15,1,2293.36,1,(null),9
NRSYON20120615,26,35.165,1,0.9,1,0.1,1,0.11,1,0,1,(null),9,1968.79,1,2282.86,1,(null),9
NRSDAR20140117_21:30,23,34.051,1,7.2,1,1.6,1,0.6,1,0.15,1,(null),9,1991.36,1,2264.55,1,(null),9
NRSDAR20140118_00:30,10,33.937,1,6.5,1,1.7,1,0.62,1,0.23,1,(null),9,1988.93,1,2261.94,1,(null),9
NRSYON20140220,10,35.331,1,0.7,1,0,1,0.01,1,0,1,(null),9,1973.96,1,2305.43,1,(null),9
NRSYON20130416,20,34.415,1,1.1,1,0,1,0.17,1,0.05,1,(null),9,1938.69,2,2245.49,1,(null),9
NRSMAI20140408,50,35.404,1,0.7,1,1.7,1,0.21,1,0.12,1,(null),9,2069.99,1,2328.36,1,234.8,1
NRSDAR20140702,0,33.983,1,5.2,1,0.3,1,0.36,1,0.09,1,(null),9,1970.6,1,2252.53,1,(null),9
NRSDAR20140906_00:30,24,34.483,1,4.5,1,0.2,1,0.24,1,0.45,1,(null),9,2009.97,1,2291.73,1,(null),9
NRSKAI20140507,20,35.815,1,0.3,1,0.2,1,0.08,1,0.38,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20130611,0,35.585,1,0.7,1,1.9,1,0.17,1,2.24,2,(null),9,2042.46,1,2331.5,1,(null),9
NRSPHB20130514,20,35.364,1,1.3,1,1.5,1,0.27,1,0.5,1,(null),9,2027.82,1,2319.31,1,(null),9
NRSPHB20131027,0,35.456,1,0.8,1,0.1,1,0.14,1,0.03,1,(null),9,2030.78,1,2330.24,1,(null),9
NRSPHB20121120,60,35.353,1,3.2,1,8,1,0.63,1,0.63,1,(null),9,2112.64,1,2323.55,1,(null),9
NRSPHB20121218,40,35.423,1,2.3,1,3.8,1,0.44,1,0.26,1,(null),9,2086.29,1,2325.82,1,(null),9
NRSKAI20140122,40,35.576,1,0.7,1,0.5,1,0.14,1,0.68,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20140623,57,35.575,1,1.7,1,5.9,1,0.47,1,0.1,1,(null),9,2081.9,1,2331.5,1,(null),9
NRSPHB20140824,40,35.56,1,0.7,1,1.5,1,0.29,1,0.37,1,(null),9,2056.1,1,2332.13,1,(null),9
NRSYON20140527,0,35.289,1,0.1,1,0.1,1,0.05,1,0.27,1,(null),9,1977.89,1,2300.69,1,(null),9
NRSROT20140122,0,35.772,1,0.5,1,0,1,0.04,1,0.04,1,(null),9,2028.49,1,2340.21,1,(null),9
NRSPHB20141021,30,35.497,1,0.1,1,0.4,1,0.14,1,1.58,2,(null),9,(null),9,(null),9,(null),9
NRSKAI20140713,40,35.88,1,0.4,1,0.6,1,0.14,1,0.35,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20140318,60,(null),9,1.7,1,4.6,1,0.39,1,0.04,1,(null),9,(null),9,(null),9,220.2,1
NRSMAI20140619,0,35.333,1,0.7,1,3,1,0.31,1,0.02,1,(null),9,2099.74,1,2324.7,1,254.7,1
NRSMAI20140703,75,35.326,1,0.7,1,2.7,1,0.29,1,0.07,1,(null),9,2102.2,1,2323.43,1,260.9,1
NRSMAI20140807,20,35.329,1,0.5,1,2.4,1,0.28,1,0.22,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20140807,60,35.32,1,0.6,1,2.5,1,0.3,1,0.19,1,(null),9,(null),9,(null),9,256.5,1
NRSMAI20140807,85,35.311,1,0.5,1,2.5,1,0.28,1,0.2,1,(null),9,2098.94,1,2326.28,1,255.8,1
NRSMAI20140821,0,35.289,1,0.7,1,2.2,1,0.29,1,0.17,1,(null),9,2097.95,1,2326.85,1,264.3,1
NRSDAR20130617_18:30,0,34.134,1,6.2,1,0,1,0.23,1,0.07,1,(null),9,1963.39,1,2261.5,1,(null),9
NRSESP20130725,50,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2037.37,1,2329.23,1,(null),9
NRSROT20130517,46,35.472,1,1.2,1,0.3,1,0.13,1,0.26,1,(null),9,2050.53,1,2325.9,1,(null),9
NRSNSI20141107,10,(null),9,0.5,1,0,1,0.09,1,0.04,1,(null),9,2001.2,1,2324.54,1,(null),9
NRSNSI20141107,40,(null),9,0.6,1,1.3,1,0.19,1,0.22,1,(null),9,(null),9,(null),9,(null),9
