NRS_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,TAXON_COUNT
ESP20090512,Oithona Grp4 (round head) f,COPEPOD,Oithona,grp 4,13
ESP20090512,Oithona spp. j,COPEPOD,Oithona,spp.,6
ESP20090512,Oncaea media complex f,COPEPOD,Oncaea,media complex,1
MAI20090716,Microsetella norvegica f,COPEPOD,Microsetella,norvegica,1
MAI20090716,Chaetognatha,NON-COPEPOD,(null),(null),2
MAI20090820,Ctenocalanus vanus f,COPEPOD,Ctenocalanus,vanus,5
MAI20090820,Oithona spp. j,COPEPOD,Oithona,spp.,7
NSI20090916,Harpacticoid j,COPEPOD,(null),(null),6
NSI20090916,Nauplii calanoid,COPEPOD,(null),(null),83
NSI20090916,Oncaea clevei complex m,COPEPOD,Oncaea,clevei complex,5
NSI20090916,Temora spp. j,COPEPOD,Temora,spp.,2
NSI20090916,Cavoliniidae body,NON-COPEPOD,(null),(null),1
NSI20090916,Fish larvae,NON-COPEPOD,(null),(null),1
ROT20181024,Oithona simplex f,COPEPOD,Oithona,simplex,2
ROT20181024,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Oncaea,spp.,5
ROT20181024,Oncaea zernovi complex f,COPEPOD,Oncaea,zernovi complex,1
ROT20181024,Globigerinidae,NON-COPEPOD,(null),(null),1
DAR20180731_0630,Ditrichocorycaeus dahli m,COPEPOD,Ditrichocorycaeus,dahli,1
MAI20090716,Bivalve,NON-COPEPOD,(null),(null),1
MAI20090820,Clausocalanus spp. m,COPEPOD,Clausocalanus,spp.,6
MAI20090820,Gastropod,NON-COPEPOD,(null),(null),3
MAI20090907,Decapod larvae,NON-COPEPOD,(null),(null),6
MAI20090907,Fritillariidae,NON-COPEPOD,(null),(null),157
PHB20100316,Calocalanus plumulosus f,COPEPOD,Calocalanus,plumulosus,1
PHB20100316,Canthocalanus pauper f,COPEPOD,Canthocalanus,pauper,2
PHB20100316,Farranula gibbula f,COPEPOD,Farranula,gibbula,6
NSI20091006,Acartia (Acartiura) tranteri f,COPEPOD,Acartia (Acartiura),tranteri,1
NSI20091006,Bestiolina similis m,COPEPOD,Bestiolina,similis,2
NSI20091006,Candacia bradyi f,COPEPOD,Candacia,bradyi,1
NSI20091006,Paracalanus aculeatus f,COPEPOD,Paracalanus,aculeatus,7
MAI20091013,Paracalanus indicus f,COPEPOD,Paracalanus,indicus,44
MAI20091013,Paracalanus indicus m,COPEPOD,Paracalanus,indicus,6
MAI20091013,Actinotroch of phoronid worm,NON-COPEPOD,(null),(null),4
MAI20091013,Egg,NON-COPEPOD,(null),(null),3
MAI20091013,Oikopleuridae,NON-COPEPOD,(null),(null),8
MAI20090421,Calanus australis f,COPEPOD,Calanus,australis,1
DAR20180731_0630,Microsetella spp. j,COPEPOD,Microsetella,spp.,2
DAR20180731_0630,Nauplii harpacticoid,COPEPOD,(null),(null),3
DAR20180731_0630,Oithona spp. j,COPEPOD,Oithona,spp.,59
DAR20180731_0630,Parvocalanus crassirostris f,COPEPOD,Parvocalanus,crassirostris,40
DAR20180731_0630,Creseis spp.,NON-COPEPOD,Creseis,spp.,1
DAR20180731_0630,Pluteus larva,NON-COPEPOD,(null),(null),2
MAI20090716,Gastropod,NON-COPEPOD,(null),(null),1
MAI20091013,Centropages australiensis m,COPEPOD,Centropages,australiensis,1
MAI20091013,Copepod damaged / unidentified,COPEPOD,(null),(null),2
MAI20091013,Corycaeidae j,COPEPOD,(null),(null),42
