NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,STATION_DEPTH,SAMPLEDEPTH_M
YON20120816,Yongala,-19.30847,147.61842,2012-08-16 00:00:00,28.9,0
KAI20100721,Kangaroo Island,-35.83217,136.44733,2010-07-22 07:00:00,110,50
KAI20081211,Kangaroo Island,-35.83217,136.44733,2008-12-12 06:45:00,110,0
KAI20081211,Kangaroo Island,-35.83217,136.44733,2008-12-12 06:45:00,110,20
KAI20081211,Kangaroo Island,-35.83217,136.44733,2008-12-12 06:45:00,110,50
ROT20120504,Rottnest Island,-32,115.41667,2012-05-04 13:00:00,50,30
ROT20120824,Rottnest Island,-32,115.41667,2012-08-24 11:06:00,50,20
ESP20120612,Esperance,-33.93333,121.85,2012-06-12 09:24:00,50,20
ESP20120612,Esperance,-33.93333,121.85,2012-06-12 09:24:00,50,30
ESP20120910,Esperance,-33.93333,121.85,2012-09-10 12:51:00,50,20
MAI20121002,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,86,30
MAI20121002,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,86,60
MAI20121002,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,86,75
DAR20121208_16:30,Darwin,-12.4,130.76805,2012-12-09 02:00:00,25,20
DAR20121208_20:00,Darwin,-12.4,130.76805,2012-12-09 05:30:00,25,10
DAR20121209_03:00,Darwin,-12.4,130.76805,2012-12-09 12:30:00,25,20
YON20120918,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,28.9,26
PHB20120821,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00,100,20
PHB20121009,Port Hacking,-34.11923,151.22667,2012-10-10 09:44:00,100,75
PHB20120917,Port Hacking,-34.11923,151.22667,2012-09-18 09:38:00,100,60
ESP20121212,Esperance,-33.93333,121.85,2012-12-12 09:10:00,50,0
ESP20121212,Esperance,-33.93333,121.85,2012-12-12 09:10:00,50,10
PHB20121218,Port Hacking,-34.11923,151.22667,2012-12-19 09:31:00,100,30
PHB20101110,Port Hacking,-34.11923,151.22667,2010-11-11 09:10:00,100,25
KAI20110427,Kangaroo Island,-35.83217,136.44733,2011-04-28 07:35:00,110,50
KAI20110427,Kangaroo Island,-35.83217,136.44733,2011-04-28 07:35:00,110,75
KAI20110427,Kangaroo Island,-35.83217,136.44733,2011-04-28 07:35:00,110,105
NSI20100214,North Stradbroke,-27.345,153.562,2010-02-15 09:30:00,60,40
PHB20110420,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00,100,10
NSI20100411,North Stradbroke,-27.345,153.562,2010-04-12 08:35:00,60,50
NSI20100411,North Stradbroke,-27.345,153.562,2010-04-12 08:35:00,60,57
