NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
DAR20140906_00:30,5.966,6,(null),1022.7262,25.7596,(null),5.313498,(null),34.4642,(null),0.5042
DAR20140906_00:30,8.948,9,(null),1022.7483,25.733,(null),5.310436,(null),34.461,(null),0.5935
DAR20140906_00:30,13.919,14,(null),1022.7715,25.7285,(null),5.310257,(null),34.4615,(null),0.6033
DAR20140906_03:30,2.983,3,(null),1022.5882,26.1082,(null),5.345791,(null),34.4376,(null),0.4686
DAR20140906_03:30,19.884,20,(null),1022.7919,25.7418,(null),5.311562,(null),34.4592,(null),0.6747
DAR20140906_06:30,9.942,10,(null),1022.6598,26.0272,(null),5.34177,(null),34.467,(null),0.6502
DAR20140906_06:30,18.89,19,(null),1022.7736,25.8407,(null),5.324874,(null),34.482,(null),0.6908
ESP20100629,35,35.249,(null),1026.144,17.5683,(null),4.640424,(null),35.7973,0.3382,0.241
ESP20100629,41,41.292,(null),1026.1703,17.5694,(null),4.640738,(null),35.7967,0.3438,0.2602
ESP20101013,8,8.056,(null),1026.1654,16.8414,(null),4.560166,(null),35.7531,0.0935,0.2462
ESP20101013,10,10.07,(null),1026.1763,16.838,(null),4.560088,(null),35.7546,0.0979,0.2268
ESP20101013,13,13.092,(null),1026.1912,16.8362,(null),4.560193,(null),35.7559,0.11,0.2544
ESP20101013,14,14.099,(null),1026.1969,16.8346,(null),4.56022,(null),35.7572,0.1171,0.2467
ESP20101013,38,38.27,(null),1026.3134,16.8191,(null),4.560637,(null),35.7651,0.2098,0.2535
ESP20101013,49,49.35,(null),1026.3649,16.815,(null),4.560975,(null),35.7674,0.2221,0.2527
ESP20110120,3,3.021,(null),1025.3297,20.4287,(null),4.94328,(null),35.877,0.066,0.1421
ESP20110120,14,14.099,(null),1025.3922,20.3997,(null),4.941886,(null),35.8862,0.0887,0.125
ESP20110120,20,20.141,(null),1025.425,20.3743,(null),4.939522,(null),35.8863,0.0979,0.1207
ESP20110512,12,12.084,(null),1025.1077,20.5427,(null),4.9183,(null),35.5741,0.4622,0.3238
ESP20110512,16,16.113,(null),1025.1248,20.5436,(null),4.918578,(null),35.5741,0.4856,0.3016
ESP20110512,25,25.177,(null),1025.1797,20.502,(null),4.915359,(null),35.5797,0.4447,0.3195
ESP20110512,28,28.198,(null),1025.1993,20.484,(null),4.913949,(null),35.5823,0.4396,0.3504
ESP20110512,34,34.241,(null),1025.247,20.4281,(null),4.909489,(null),35.5908,0.4319,0.3395
ESP20110512,36,36.256,(null),1025.2603,20.4172,(null),4.908683,(null),35.5927,0.4346,0.3395
ESP20110512,38,38.27,(null),1025.2726,20.4074,(null),4.908029,(null),35.5949,0.4043,0.3446
ESP20110512,44,44.313,(null),1025.3129,20.3796,(null),4.90627,(null),35.6018,0.4394,0.3862
ESP20110512,51,51.364,(null),1025.4261,20.1795,(null),4.890703,(null),35.6418,0.3786,0.7744
ESP20110818,11,11.077,(null),1026.0115,16.3427,(null),4.468061,(null),35.3824,0.1979,0.4165
ESP20110818,14,14.099,(null),1026.0247,16.341,(null),4.467959,(null),35.3819,0.2216,0.4454
ESP20110818,31,31.22,(null),1026.123,16.2427,(null),4.458873,(null),35.3818,0.2902,1.2072
