NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
ROT20160502,Rottnest Island,-32,115.41667,2016-05-02 09:44:00,20.487493438553,0.495598979,0.179010779
NSI20160318,North Stradbroke,-27.345,153.562,2016-03-18 10:30:00,27.159993289411,0.248221643,0.219232902
MAI20160321,Maria Island,-42.59667,148.23333,2016-03-22 10:11:00,19.439993461967,0.599735218,0.416569561
MAI20160530,Maria Island,-42.59667,148.23333,2016-05-31 09:45:00,14.844993564673,0.541196704,0.592904687
YON20160321,Yongala,-19.30847,147.61842,2016-03-21 10:31:00,28.809993252531,0.590297995,0.460052162
PHB20151013,Port Hacking,-34.11923,151.22667,2015-10-14 09:42:00,20.699993433803,1.035217785,0.217739463
YON20151203,Yongala,-19.30847,147.61842,2015-12-03 11:00:00,27.599993279576,0.320764717,0.307578981
KAI20160525,Kangaroo Island,-35.83217,136.44733,2016-05-26 07:35:00,17.509993505105,0.418444717,0.504460692
PHB20160407,Port Hacking,-34.11923,151.22667,2016-04-08 09:13:00,23.219993377477,0.411292342,0.190119907
DAR20160723,Darwin,-12.4,130.76805,2016-07-24 08:00:00,25.964993316121,2.250193604,1.96059823
DAR20160724_0430,Darwin,-12.4,130.76805,2016-07-24 14:00:00,25.964993316121,2.250193604,1.96059823
DAR20160724_0730,Darwin,-12.4,130.76805,2016-07-24 17:00:00,25.964993316121,2.250193604,1.96059823
DAR20170202_2130,Darwin,-12.4,130.76805,2017-02-03 07:00:00,29.9527946,2.9731,(null)
DAR20170516,Darwin,-12.4,130.76805,2017-05-17 08:47:00,28.5264917,2.2364,2.257486105
PHB20180326,Port Hacking,-34.11923,151.22667,2018-03-27 09:40:00,22.7106248,0.50099,0.789500713
MAI20170626,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00,13.7336557,0.53597,0.526447713
NSI20171116,North Stradbroke,-27.345,153.562,2017-11-16 10:30:00,24.7099222,0.27643,0.198447838
ROT20170626,Rottnest Island,-32,115.41667,2017-06-26 09:46:00,20.8299709,0.53884,0.597450793
PHB20170716,Port Hacking,-34.11923,151.22667,2017-07-17 09:42:00,19.7652053,0.62046,0.383129716
YON20170322,Yongala,-19.30847,147.61842,2017-03-22 12:00:00,29.8572017,0.590297995,0.240034431
YON20170426,Yongala,-19.30847,147.61842,2017-04-26 10:20:00,26.4699159,0.58126,0.613288581
MAI20161117,Maria Island,-42.59667,148.23333,2016-11-18 09:10:00,13.90610656,0.659520864,1.074092507
YON20171215,Yongala,-19.30847,147.61842,2017-12-15 10:44:00,27.9504443,0.30475,0.224209711
MAI20170323,Maria Island,-42.59667,148.23333,2017-03-24 09:30:00,18.03979743,0.599735218,0.708364785
KAI20170518,Kangaroo Island,-35.83217,136.44733,2017-05-18 11:15:00,17.6779797,0.39137,0.418162107
YON20170724,Yongala,-19.30847,147.61842,2017-07-24 10:45:00,23.7262718,0.26292,0.208134741
NSI20180530,North Stradbroke,-27.345,153.562,2018-05-30 10:20:00,23.857757,(null),0.282428801
YON20180425,Yongala,-19.30847,147.61842,2018-04-26 09:48:00,26.8922227,(null),0.235702217
ROT20180831,Rottnest Island,-32,115.41667,2018-08-31 10:07:00,18.21832,(null),0.266187549
ROT20180620,Rottnest Island,-32,115.41667,2018-06-20 09:56:00,20.33331,(null),0.580068707
MAI20190430,Maria Island,-42.59667,148.23333,2019-05-01 09:47:00,(null),(null),(null)
PHB20190729,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00,20.22955526,(null),4.609580308
NSI20200817,North Stradbroke,-27.345,153.562,2020-08-18 09:50:00,(null),(null),(null)
ROT20200605,Rottnest Island,-32,115.41667,2020-06-05 09:13:00,(null),(null),(null)
ROT20180727,Rottnest Island,-32,115.41667,2018-07-27 09:33:00,18.86665,(null),0.602442205
YON20181123,Yongala,-19.30847,147.61842,2018-11-23 10:05:00,27.07978,(null),0.2904795
YON20200611,Yongala,-19.30847,147.61842,2020-06-12 09:09:00,(null),(null),(null)
YON20200802,Yongala,-19.30847,147.61842,2020-08-03 09:15:00,(null),(null),(null)
KAI20200527,Kangaroo Island,-35.83217,136.44733,2020-05-28 08:30:00,(null),(null),(null)
YON20190703,Yongala,-19.30847,147.61842,2019-07-03 10:50:00,22.61764999,(null),0.533640988
NSI20100817,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00,21.294993420504,0.483294961,0.529543579
PHB20100510,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,22.489993393794,0.594364293,0.61311239
PHB20110829,Port Hacking,-34.11923,151.22667,2011-08-29 10:03:00,18.039993493259,1.236052153,0.479032785
MAI20120724,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00,12.689993612841,0.578568645,0.484458238
NSI20120229,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00,26.459993305057,0.284832369,1.018820047
ROT20121126,Rottnest Island,-32,115.41667,2012-11-26 11:02:00,20.549993437156,0.211517851,0.160664394
NSI20130418,North Stradbroke,-27.345,153.562,2013-04-18 10:05:00,25.184993333556,0.370330558,0.335467279
YON20130131,Yongala,-19.30847,147.61842,2013-01-31 10:15:00,29.869993228838,1.493664858,0.237445682
