SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
5915,Yongala,-19.30847,147.61842,2014-08-20 11:15:00
5522,North Stradbroke,-27.345,153.562,2014-07-25 10:35:00
6997,North Stradbroke,-27.345,153.562,2015-01-19 10:35:00
7262,Darwin,-12.4,130.76805,2015-03-17 08:35:00
7322,Rottnest Island,-32,115.41667,2015-03-19 11:47:00
1083,North Stradbroke,-27.345,153.562,2008-11-19 10:30:00
1416,North Stradbroke,-27.345,153.562,2012-05-11 10:05:00
1453,North Stradbroke,-27.345,153.562,2012-10-17 10:20:00
1117,Port Hacking,-34.11923,151.22667,2009-09-21 09:17:00
1382,Ningaloo,-21.99,113.779,2011-05-01 08:24:00
1346,Yongala,-19.30847,147.61842,2011-06-16 11:25:00
1390,Rottnest Island,-32,115.41667,2011-07-25 10:20:00
1219,Maria Island,-42.59667,148.23333,2010-05-05 11:30:00
1308,Maria Island,-42.59667,148.23333,2011-02-23 11:15:00
1249,North Stradbroke,-27.345,153.562,2010-12-16 08:30:00
1226,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00
1227,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00
1183,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00
1243,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00
1244,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00
1245,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00
1301,North Stradbroke,-27.345,153.562,2011-03-23 10:20:00
1362,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00
1354,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00
1140,North Stradbroke,-27.345,153.562,2010-02-15 09:30:00
1314,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00
1414,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00
1418,Port Hacking,-34.11923,151.22667,2012-05-18 09:33:00
1309,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00
1587,Rottnest Island,-32,115.41667,2012-02-21 09:40:00
1162,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00
1315,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00
1360,Maria Island,-42.59667,148.23333,2011-10-05 12:24:00
1353,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00
1241,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00
7817,North Stradbroke,-27.345,153.562,2015-09-07 10:40:00
7940,Yongala,-19.30847,147.61842,2015-08-04 11:45:00
8262,Port Hacking,-34.11923,151.22667,2015-10-14 09:42:00
8535,North Stradbroke,-27.345,153.562,2016-05-17 10:30:00
8615,Yongala,-19.30847,147.61842,2015-12-03 11:00:00
8932,Yongala,-19.30847,147.61842,2016-06-01 10:46:00
7764,North Stradbroke,-27.345,153.562,2015-07-31 10:15:00
9159,Rottnest Island,-32,115.41667,2016-10-04 10:38:00
9256,North Stradbroke,-27.345,153.562,2016-10-20 09:40:00
7691,North Stradbroke,-27.345,153.562,2015-06-24 10:30:00
10240,Darwin,-12.4,130.76805,2017-07-15 16:00:00
10255,Kangaroo Island,-35.83217,136.44733,2017-09-08 15:00:00
10494,Darwin,-12.4,130.76805,2017-10-10 07:57:00
10646,Rottnest Island,-32,115.41667,2018-03-28 09:23:00
10822,Kangaroo Island,-35.83217,136.44733,2018-03-07 12:20:00
9667,Kangaroo Island,-35.83217,136.44733,2017-03-15 12:27:00
9807,Port Hacking,-34.11923,151.22667,2017-03-22 09:21:00
10069,Rottnest Island,-32,115.41667,2017-08-02 09:33:00
10509,Kangaroo Island,-35.83217,136.44733,2017-11-29 14:50:00
9409,Maria Island,-42.59667,148.23333,2017-01-05 09:45:00
10734,Rottnest Island,-32,115.41667,2017-12-14 09:37:00
10848,Yongala,-19.30847,147.61842,2017-12-15 10:44:00
11253,Maria Island,-42.59667,148.23333,2018-10-19 08:45:00
11424,Port Hacking,-34.11923,151.22667,2018-11-21 09:24:00
12070,Yongala,-19.30847,147.61842,2019-05-07 11:30:00
12185,Maria Island,-42.59667,148.23333,2019-09-25 10:03:00
12510,Yongala,-19.30847,147.61842,2019-10-09 10:00:00
11568,Yongala,-19.30847,147.61842,2019-01-24 11:12:00
11700,Maria Island,-42.59667,148.23333,2019-03-21 09:35:00
12379,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00
1255,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00
1325,Rottnest Island,-32,115.41667,2011-03-24 09:35:00
1405,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00
1488,Yongala,-19.30847,147.61842,2012-11-29 10:40:00
3285,Maria Island,-42.59667,148.23333,2013-04-24 10:50:00
1791,Yongala,-19.30847,147.61842,2013-04-16 11:35:00
3310,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00
