SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
5773,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00
5913,Yongala,-19.30847,147.61842,2014-07-17 10:28:00
7042,Rottnest Island,-32,115.41667,2013-10-17 08:00:00
5072,Yongala,-19.30847,147.61842,2014-03-17 14:07:00
5941,Yongala,-19.30847,147.61842,2014-09-10 10:35:00
7305,Rottnest Island,-32,115.41667,2015-01-28 10:15:00
1723,Ningaloo,-21.99,113.779,2012-08-27 08:05:00
1737,Esperance,-33.93333,121.85,2012-06-12 09:24:00
1693,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00
1469,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00
139,Port Hacking,-34.11923,151.22667,2009-09-21 09:17:00
143,Yongala,-19.30847,147.61842,2010-02-24 10:58:00
149,Yongala,-19.30847,147.61842,2011-10-27 13:44:00
192,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00
14,North Stradbroke,-27.345,153.562,2010-02-15 09:30:00
92,Yongala,-19.30847,147.61842,2010-01-19 10:45:00
105,Yongala,-19.30847,147.61842,2011-12-13 12:55:00
114,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00
10,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00
30,Yongala,-19.30847,147.61842,2010-05-21 12:56:00
33,Kangaroo Island,-35.83217,136.44733,2011-03-20 09:40:00
35,Rottnest Island,-32,115.41667,2012-01-30 11:09:00
60,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00
71,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00
8778,North Stradbroke,-27.345,153.562,2016-06-23 10:30:00
7367,Maria Island,-42.59667,148.23333,2015-03-13 09:33:00
8548,North Stradbroke,-27.345,153.562,2016-05-17 10:30:00
8643,Yongala,-19.30847,147.61842,2016-01-22 10:39:00
8960,Yongala,-19.30847,147.61842,2016-06-24 10:00:00
9254,Darwin,-12.4,130.76805,2016-07-24 17:00:00
7507,Yongala,-19.30847,147.61842,2014-10-14 12:02:00
7792,North Stradbroke,-27.345,153.562,2015-08-17 10:30:00
8150,Darwin,-12.4,130.76805,2015-08-04 08:00:00
8321,Rottnest Island,-32,115.41667,2015-09-24 10:08:00
7689,Yongala,-19.30847,147.61842,2015-06-18 10:55:00
9635,North Stradbroke,-27.345,153.562,2017-04-24 11:00:00
9712,Maria Island,-42.59667,148.23333,2017-04-12 10:15:00
9958,North Stradbroke,-27.345,153.562,2017-07-17 11:05:00
10284,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00
10506,Darwin,-12.4,130.76805,2017-10-10 07:57:00
9407,Maria Island,-42.59667,148.23333,2016-11-18 09:10:00
10300,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00
10377,Rottnest Island,-32,115.41667,2017-11-03 09:25:00
10629,North Stradbroke,-27.345,153.562,2018-01-23 10:20:00
10982,Maria Island,-42.59667,148.23333,2018-07-12 08:40:00
11078,Rottnest Island,-32,115.41667,2018-06-20 09:56:00
11407,North Stradbroke,-27.345,153.562,2018-09-13 10:20:00
12067,Yongala,-19.30847,147.61842,2019-05-28 10:25:00
12507,Yongala,-19.30847,147.61842,2019-09-17 10:10:00
12522,Yongala,-19.30847,147.61842,2019-10-09 10:00:00
11132,Yongala,-19.30847,147.61842,2018-06-03 09:10:00
11251,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00
11307,Rottnest Island,-32,115.41667,2018-09-21 09:27:00
11362,Maria Island,-42.59667,148.23333,2018-12-05 09:10:00
11566,Yongala,-19.30847,147.61842,2018-12-13 10:30:00
11592,Yongala,-19.30847,147.61842,2019-02-13 10:26:00
11621,Port Hacking,-34.11923,151.22667,2019-01-22 09:43:00
11682,Rottnest Island,-32,115.41667,2019-01-25 09:35:00
11851,North Stradbroke,-27.345,153.562,2019-04-16 10:10:00
11867,North Stradbroke,-27.345,153.562,2019-05-27 10:15:00
11885,Port Hacking,-34.11923,151.22667,2019-04-09 08:50:00
75,Esperance,-33.93333,121.85,2011-01-20 08:50:00
78,Darwin,-12.4,130.76805,2012-01-15 13:05:00
90,Port Hacking,-34.11923,151.22667,2009-10-12 09:28:00
93,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00
95,Maria Island,-42.59667,148.23333,2010-03-30 11:40:00
108,Rottnest Island,-32,115.41667,2011-08-26 09:43:00
1487,Yongala,-19.30847,147.61842,2012-11-29 10:40:00
1518,North Stradbroke,-27.345,153.562,2013-01-11 10:40:00
1562,Rottnest Island,-32,115.41667,2012-09-28 11:41:00
1780,Kangaroo Island,-35.83217,136.44733,2013-05-07 07:55:00
1792,Yongala,-19.30847,147.61842,2013-05-15 10:30:00
3135,Maria Island,-42.59667,148.23333,2013-06-11 11:55:00
3078,Port Hacking,-34.11923,151.22667,2013-04-23 09:32:00
3273,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00
3445,Maria Island,-42.59667,148.23333,2013-12-17 11:05:00
1556,Ningaloo,-21.99,113.779,2012-11-07 12:00:00
1761,North Stradbroke,-27.345,153.562,2013-04-18 10:05:00
5622,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00
5801,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00
5857,Rottnest Island,-32,115.41667,2014-06-24 13:16:00
