NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A
NRSYON20110720,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,(null),0.011,0,0.011,0,(null),0.009,0,0,0,0.013,0.017,0,0,0,0.002,0.024,0,0,0.009,0,0,0,0,0,0.06,0,0,0,0,0.006,0.006,0.01,0.145,0.155,0,0,0,0,(null),(null),0.012,0
NRSYON20130515,Yongala,-19.30847,147.61842,2013-05-15 10:30:00,(null),0.014,0,0.02,0.004,(null),0,0,0,0,0.007,0.034,0.002,0,0.004,0.001,0.023,0.003,0,0.006,0,0,0.003,0,0,0.07,0,0,0,0,0.02,0.02,0,0.239,0.239,0,0,0,0,(null),(null),0.019,0
NRSNIN20120226,Ningaloo,-21.99,113.779,2012-02-26 09:54:00,(null),0.06,0,0.057,0.008,(null),0,0,0.01,0,0.027,0.111,0.009,0,0.017,0.006,0.09,0.009,0,0.025,0,0,0.012,0,0,0.075,0,0,0,0,0.081,0.081,0.057,0.535,0.592,0,0,0.094,0,(null),(null),0.042,0
NRSPHB20090518,Port Hacking,-34.11923,151.22667,2009-05-19 09:25:00,(null),0.045,0,0.053,0,(null),0.072,0.094,0,0,0.022,0.119,0.004,0,0.011,0,0.052,0,0,0.017,0,0,0.011,0,0,0.027,0,0,0,0,0.031,0.031,0.012,0.334,0.346,0,0,0,0,(null),(null),0.017,0
NRSPHB20090819,Port Hacking,-34.11923,151.22667,2009-08-20 09:19:00,(null),0.028,0,0.062,0.008,(null),0,0,0.048,0,0.016,0.053,0.011,0,0.03,0.009,0.057,0,0,0.023,0,0,0.029,0,0.003,0.01,0,0,0,0,0.103,0.103,0,0.475,0.475,0,0,0,0,(null),(null),0.022,0
NRSPHB20091110,Port Hacking,-34.11923,151.22667,2009-11-11 09:45:00,(null),0.124,0,0.076,0,(null),0.184,0,0.012,0,0.017,0.3,0,0,0,0,0.026,0,0,0.033,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0.471,0.471,0,0,0,0,(null),(null),0.014,0
NRSPHB20101019,Port Hacking,-34.11923,151.22667,2010-10-20 10:40:00,(null),0.03,0,0.035,0,(null),0,0,0,0,0.036,0.054,0,0,0,0,0.073,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.024,0.024,0,0.268,0.268,0,0,0,0,(null),(null),0,0
NRSPHB20101110,Port Hacking,-34.11923,151.22667,2010-11-11 09:10:00,(null),0.026,0,0.033,0,(null),0,0,0.008,0,0.033,0.037,0.007,0,0.021,0.004,0.07,0,0,0.014,0,0,0.011,0,0,0.01,0,0,0,0,0.061,0.061,0,0.322,0.322,0,0,0,0,(null),(null),0.016,0
NRSPHB20110203,Port Hacking,-34.11923,151.22667,2011-02-04 09:58:00,(null),0.037,0,0.04,0,(null),0.037,0,0.009,0,0.023,0.101,0.006,0,0.009,0.004,0.032,0.006,0,0.016,0,0,0,0,0.007,0.028,0.004,0,0,0,0.03,0.03,0.009,0.269,0.278,0,0,0,0,(null),(null),0.015,0
NRSPHB20110228,Port Hacking,-34.11923,151.22667,2011-03-01 09:30:00,(null),0.029,0,0.036,0.006,(null),0,0,0.013,0,0.028,0.019,0.023,0,0.031,0.011,0.049,0,0,0.008,0,0,0.008,0,0,0.044,0.025,0,0,0,0.161,0.161,0.027,0.413,0.44,0,0.005,0,0,(null),(null),0.03,0
NRSPHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,(null),0.046,0,0.071,0.016,(null),0,0,0.034,0.042,0.014,0.206,0.002,0,0.006,0.007,0.04,0,0,0.048,0,0.004,0.006,0,0.006,0,0,0,0,0,0.019,0.019,0,0.592,0.592,0,0,0,0,(null),(null),0.02,0
