NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSDAR20171009_ZOOBIOWC,Darwin,-12.4,130.76805,2017-10-10,87.81119
NRSDAR20180208_2130_ZOOBIOWC,Darwin,-12.4,130.76805,2018-02-09,56.75541
NRSDAR20180209_0030_ZOOBIOWC,Darwin,-12.4,130.76805,2018-02-09,42.65144
NRSDAR20180209_0330_ZOOBIOWC,Darwin,-12.4,130.76805,2018-02-09,30.66773
NRSDAR20180209_0630_ZOOBIOWC,Darwin,-12.4,130.76805,2018-02-09,33.61363
NRSDAR20180509_ZOOBIOWC,Darwin,-12.4,130.76805,2018-05-10,16.84171
NRSDAR20180730_2130_ZOOBIOWC,Darwin,-12.4,130.76805,2018-07-31,97.76151
NRSDAR20180731_0030_ZOOBIOWC,Darwin,-12.4,130.76805,2018-07-31,196.47782
NRSDAR20180731_0330_ZOOBIOWC,Darwin,-12.4,130.76805,2018-07-31,207.90013
NRSDAR20180731_0630_ZOOBIOWC,Darwin,-12.4,130.76805,2018-07-31,25.93889
NRSDAR20190213_2130_ZOOBIOWC,Darwin,-12.4,130.76805,2019-02-14,14.45175
NRSDAR20190214_0030_ZOOBIOWC,Darwin,-12.4,130.76805,2019-02-14,10.15131
NRSDAR20190214_0330_ZOOBIOWC,Darwin,-12.4,130.76805,2019-02-14,10.98338
NRSDAR20190214_0630_ZOOBIOWC,Darwin,-12.4,130.76805,2019-02-14,8.17513
NRSDAR20190529_ZOOBIOWC,Darwin,-12.4,130.76805,2019-05-30,93.93976
NRSDAR20190722_2130_ZOOBIOWC,Darwin,-12.4,130.76805,2019-07-23,52.76691
NRSDAR20190723_0030_ZOOBIOWC,Darwin,-12.4,130.76805,2019-07-23,74.98762
NRSDAR20190723_0330_ZOOBIOWC,Darwin,-12.4,130.76805,2019-07-23,44.43279
NRSDAR20190723_0630_ZOOBIOWC,Darwin,-12.4,130.76805,2019-07-23,33.24138
NRSDAR20191105_ZOOBIOWC,Darwin,-12.4,130.76805,2019-11-06,41.06691
NRSESP20090512_ZOOBIOWC,Esperance,-33.93333,121.85,2009-05-12,23.95266
NRSESP20090623_ZOOBIOWC,Esperance,-33.93333,121.85,2009-06-23,10.45178
NRSESP20090917_ZOOBIOWC,Esperance,-33.93333,121.85,2009-09-17,7.84276
NRSESP20091216_ZOOBIOWC,Esperance,-33.93333,121.85,2009-12-16,7.3241
