NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSPHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,WC,1953.5,16244,3743.5
NRSPHB20160201,Port Hacking,-34.11923,151.22667,2016-02-02 10:52:00,WC,12097.735,69012.525,11786.54
NRSDAR20160202_0330,Darwin,-12.4,130.76805,2016-02-02 13:00:00,WC,2022.225,83183.33,4355.555
NRSDAR20160724_0130,Darwin,-12.4,130.76805,2016-07-24 11:01:00,WC,573.61,46864.35,4825.46
NRSYON20160624,Yongala,-19.30847,147.61842,2016-06-24 10:00:00,WC,1849.5,93929.5,3836.5
NRSROT20151215,Rottnest Island,-32,115.41667,2015-12-15 08:22:00,WC,8197.325,13882.815,6568.68
NRSPHB20170921,Port Hacking,-34.11923,151.22667,2017-09-22 08:48:00,75,396.68,1668.565,3160.24
NRSYON20170120,Yongala,-19.30847,147.61842,2017-01-20 10:00:00,WC,7320.5,44986,2460
NRSMAI20171217,Maria Island,-42.59667,148.23333,2017-12-18 09:40:00,85,273.855,5643,759.625
NRSKAI20171129,Kangaroo Island,-35.83217,136.44733,2017-11-29 14:50:00,0,50732.055,15085.895,9149.145
NRSMAI20180301,Maria Island,-42.59667,148.23333,2018-03-02 09:30:00,0,1717.79,6737.94,13654.445
NRSMAI20180301,Maria Island,-42.59667,148.23333,2018-03-02 09:30:00,85,(null),(null),(null)
NRSMAI20180418,Maria Island,-42.59667,148.23333,2018-04-19 09:30:00,50,1373.415,10856.505,11450.38
NRSNSI20180320,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00,0,84487.46,27687.46,2725.8
NRSNSI20180320,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00,50,16309.69,3996.715,3049.87
NRSNSI20180302,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00,10,36008.68,20293.75,2017.36
