NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSPHB20091206,0,1.3,1,1.1,0.2,14,0
NRSNSI20091015,0,(null),9,(null),(null),12,0
NRSPHB20091110,0,1.2,1,0,1.2,22,0
NRSROT20100315,0,0.8,1,0.4,0.4,18.2,0
NRSKAI20101213,0,26.2,0,22.7,3.5,(null),0
NRSMAI20100615,0,1,1,0.7,0.3,21,0
NRSNSI20100618,0,1.1,1,0.7,0.4,12.5,0
NRSESP20100629,0,1,1,0.3,0.7,10.7,1
NRSYON20100817,0,1.2,1,1,0.2,17,0
NRSYON20100817,0,1.4,1,1.1,0.3,17,0
NRSESP20110120,0,0.5,1,0.3,0.2,15,0
NRSMAI20101214,0,0.6,1,0.3,0.3,11,0
NRSNIN20111107,0,0.4,1,0.2,0.2,18,0
NRSDAR20120115_03:35,0,(null),9,(null),(null),1.5,1
NRSNSI20111220,0,1.4,1,0.9,0.5,18,1
NRSNSI20111220,0,0.6,1,0.3,0.3,18,1
NRSESP20120229,0,1.8,1,0.7,0.3,10,0
NRSESP20120229,0,1.9,1,0.6,0.3,10,0
NRSMAI20120222,0,0.5,1,0.2,0.3,15,0
NRSMAI20120222,0,0.3,1,0.1,0.3,15,0
NRSKAI20120215,0,12.3,1,9.4,2.9,15.5,0
NRSKAI20120215,0,13.1,1,10.1,3,15.5,0
NRSNSI20110412,0,0.5,1,0.2,0.3,27,0
NRSYON20110811,0,1.1,1,0.9,0.2,14,0
NRSYON20110811,0,0.7,1,0.5,0.2,14,0
NRSYON20110720,0,1,1,0.7,0.4,18,0
NRSYON20110720,0,0.9,1,0.6,0.4,18,0
NRSNSI20110727,0,0.4,1,0.3,0.1,17,0
NRSPHB20090318,0,(null),9,(null),(null),10,0
NRSPHB20091011,0,2.4,1,1.4,1,14,0
NRSROT20091222,0,(null),9,(null),(null),16.3,0
NRSMAI20100120,0,1.3,1,1,0.3,11.5,0
NRSESP20100322,0,1.4,1,0.7,0.7,10.5,1
NRSKAI20101120,0,15.3,0,12.7,2.6,(null),0
NRSPHB20101213,0,2.1,1,1.3,0.8,8.5,0
NRSNSI20100711,0,1.1,1,0.7,0.5,18,0
NRSPHB20110203,0,1.1,1,0.7,0.4,18,1
NRSNIN20110209,0,1.5,1,0.9,0.6,12.5,0
NRSPHB20110228,0,0.8,1,0.3,0.5,20.5,0
NRSROT20111221,0,5.7,2,4.9,0.8,21,0
NRSROT20111221,0,6.1,2,5.2,0.9,21,0
NRSROT20110826,0,1.1,1,0.7,0.4,12.5,0
NRSNSI20120213,0,1,1,0.5,0.5,19,0
NRSNSI20120213,0,1.2,1,0.8,0.4,19,0
NRSMAI20120326,0,0.5,1,0,0.5,22,0
NRSMAI20120326,0,0.2,1,0,0.2,22,0
NRSROT20110527,0,0.5,1,0.2,0.3,13.5,0
NRSROT20110324,0,0.4,1,0,0.4,13.5,0
NRSKAI20090601,0,5.5,0,4.5,1.1,13.2,0
NRSPHB20091018,0,1.7,1,0,1.6,15,0
NRSNSI20091101,0,(null),9,(null),(null),21,0
NRSKAI20100112,0,2,0,1,1.1,(null),0
