SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
150-26,-4122.957488,3.7315216,0.1303,(null)
143-27,0.1121,(null),0.2484,(null)
270-33,-1639.695,18.67,0.2737,0.104540169
333-25,-54.561875,23.8781878,0.4662,0.128446862
372-5,-128.13375,21.09,0.5088,0.233807504
372-17,-492.3375,23.18,0.8756,0.193785951
147-15,0.1121,4.8,0.1229,0.12009111
165-56,-4442.552388,10.56,0.17,0.262467027
165-57,-4415.063263,10.5,0.1726,0.295285136
61-13,-377.8489188,22.94,0.2136,0.158096015
51-61,-1149.1257,20.81,0.1168,0.501414537
358-21,-183.4175,20.5170073,0.7208,0.43253842
358-45,-137.9075,19.2767296,0.1709,3.396783352
316-54,-4187.98415,11.1515214,0.2563,0.167738616
339-13,-47.6975,24.4912434,0.4754,0.688273787
408-65,-5575.021875,15.9033963,0.2936,0.141658247
142-39,0.1121,(null),0.1624,(null)
142-10,-3763.38795,7.2765215,0.1794,(null)
170-9,-5139.779775,16.16,0.2526,0.194959581
164-81,0.1121,2.17,0.3091,0.143494099
165-7,-2998.830488,13.37,0.2123,0.416616321
207-45,-4657.659375,10.52,0.2372,(null)
207-59,-4487.513819,9.47,0.1425,0.271468937
209-72,0.1121,0.55,0.2392,0.143608913
211-12,0.1121,17.83,0.1725,0.481434524
211-21,-3029.015,16.01,0.1648,1.193672776
403-13,-5580.793125,15.851938,0.2795,0.296348125
139-82,0.1121,(null),0.2135,(null)
150-16,-4051.549,4.2188827,0,(null)
4-37,-1908.248706,15.25,0.1462,0.408780307
1-27,-894.665625,22.1165906,0.1701,(null)
181-5,-3922.888369,19.24,0.1679,0.123776071
221-63,0.1121,12.09,0.3703,0.164686471
12-29,-930.1523875,23.31,0.2165,1.029638529
6-37,0.1121,15.85,0.2271,0.431290805
14-81,-757.8078875,24.21,0.3811,0.096994184
13-29,-2943.997163,20.64,0.1281,0.141038001
83-57,-1263.931825,20.88,0.1344,0.29688558
86-44,0.1121,9.78,0.2204,0.150666714
86-52,0.1121,9.01,0.2021,0.127452418
86-60,0.1121,8.98,0.1364,0.145764694
88-16,-4637.508588,3.24,0.2204,0.148455441
88-20,0.1121,2.97,0.3229,0.153427452
89-47,0.1121,5.93,0.1311,0.151852757
90-11,0.1121,4.98,0.1371,0.159398451
90-23,0.1121,4.3,0.1652,0.113317758
91-44,-3090.957875,2.68,0.1321,0.224705666
82-53,-1783.852569,26.49,0.2852,0.13381511
92-21,0.1121,6.43,0.1962,0.117143579
92-38,-3809.395438,6.88,0.1643,0.107189946
190-61,-1564.340288,18.66,0.151,0.314733058
119-25,-5264.837463,15.81,0.1163,0.349013925
146-3,0.1121,2.3,0.1216,0.110959642
146-40,0.1121,3.43,0.1343,0.088026479
144-38,-3604.084413,4.2,0.1346,0.120996386
156-13,0.1121,4.53,0.1302,0.157645181
159-3,0.1121,0.61,0.667,(null)
159-10,0.1121,0.96,0.4766,(null)
159-70,0.1121,1.94,0.1729,(null)
161-20,0.1121,5.55,0.3766,(null)
163-90,0.1121,8.98,0.3388,0.151931375
164-11,0.1121,5.52,0.1971,(null)
166-41,0.1121,3.14,0.6349,0.172968641
166-44,0.1121,2.9,0.1393,0.141996101
165-8,0.1121,13.35,0.1893,0.994764686
165-19,-2825.945069,12.78,0.4613,0.468761593
162-15,0.1121,7.89,0.4105,0.177371338
162-76,-3640.4465,9.51,0.1654,0.216106087
189-73,-4733.6685,15.25,0.1585,0.206441388
207-47,0.1121,10.57,0.1672,(null)
208-3,0.1121,9.82,0.1528,(null)
209-32,0.1121,2.24,0.1431,0.10292504
215-54,0.1121,9.84,0.2704,0.290803611
221-30,0.1121,13.51,0.1683,0.452659577
362-73,-146.43625,22.1871462,0.3436,0.152405739
385-53,-417.7275,16.6689519,0.2523,0.2076886
244-21,-64.165625,19.25,0.2539,0.19092077
270-21,-1557.39,19.3,0.5038,0.12294367
344-85,-68.651875,12.54,0.3883,0.560482621
296-53,-294.39125,26.86,0.3585,0.087855861
297-49,-129.5,24.24,0.1972,0.190198287
364-53,-156.305,18.24,0.2687,0.785987914
354-45,-50.681875,24.7621461,0.1412,0.310714841
354-49,-55.1125,24.8807572,0.3039,0.279123425
296-13,-283.91125,26.12,0.2485,0.124358162
398-25,-48.3675,24.4912434,0.245,0.302308023
254-29,-79.7575,22.2671462,0.3409,1.654623866
148-25,-2769.374906,13.8910353,0.2935,(null)
142-44,0.1121,(null),0.1909,(null)
221-47,0.1121,13.03,0.2712,0.227334738
362-61,-72.06125,22.4227712,0.2935,0.15187031
324-61,-1832.931875,16.77,0.5905,0.117529362
146-42,0.1121,3.47,0.1264,0.095862672
157-28,-4667.786313,2.83,0.1611,0.132697284
165-59,-4371.910469,10.44,0.1687,0.280109257
69-22,-3315.12875,20.2572851,0.2809,(null)
8-14,-913.84375,20.1537434,0.1646,(null)
18-45,-832.473925,23.72,0.3653,0.464433014
18-57,-752.1466813,23.99,0.2207,0.38815099
69-85,-42.067175,13.28,0.2683,0.55160892
83-6,-155.751875,20.5170073,0.2312,(null)
83-30,-3820.486875,19.8417296,0.4155,(null)
86-3,-4090.50045,10.81,0.2023,(null)
64-1,-770.77885,24.63,0.2899,0.133506566
125-1,-1331.336022,17.45,0.2676,0.139952004
265-57,-4561.158125,17.1440907,0.2605,(null)
239-17,-30.07125,28.23,0.4556,0.384105325
302-57,-79.465625,20.91,0.2726,0.409397095
339-21,-47.015,24.3626322,0.3132,0.517906904
408-73,-5585.72125,16.0017991,0.3526,0.212380216
149-49,-2763.771431,5.6420077,0.1307,(null)
189-101,-4377.617281,15.64,0.1721,0.267614603
209-71,0.1121,0.82,0.2757,0.181855306
214-17,-75.029375,15.2721463,0.2253,0.213110507
215-10,0.1121,11.73,0.4934,0.380454391
215-17,-4775.507775,10.35,0.2855,0.309117973
220-52,-4313.193381,0.6,0.1153,0.177182555
140-70,-4408.169113,5.372216,0.1713,(null)
8-21,-2521.989719,19.54,0.291,0.573725998
7-25,-963.9190188,23.18,0.1465,0.408382118
108-5,-914.9426438,18.52,0.1785,0.231378585
