SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
159-23,0.1121,0.94,0.1366,(null)
159-34,0.1121,1.51,0.2303,0.311449438
124-9,0.1121,19.1,0.4407,0.160937279
163-15,0.1121,11.22,0.1543,0.175111696
169-25,-1090.544888,16.14,0.1582,0.366290361
169-61,-4678.531313,16.02,0.5448,0.401107013
178-21,-84.8575,17.22,0.1469,0.404686093
162-40,-3426.193238,8.19,0.1656,0.163535789
162-60,-3614.358856,9.75,0.5831,(null)
162-66,0.1121,9.08,0.1496,0.204863414
163-3,0.1121,11.28,0.1527,0.46535179
163-6,0.1121,11.45,0.1332,0.198728561
208-14,0.1121,9.38,0.2372,(null)
176-5,-328.8368625,25.27,0.3359,0.256241083
189-133,0.1121,17.56,0.2168,0.27836284
189-137,-1823.775438,17.51,0.1384,0.269754231
215-3,-3357.434406,11.65,0.1253,0.422449261
215-23,0.1121,9.88,0.1971,0.347132474
215-62,0.1121,9.77,0.2975,0.293965161
219-67,-4240.234906,2.11,0.296,0.165717617
366-53,-5072.869375,16.62,0.4627,0.100896768
385-61,-83.61125,15.881313,0.5333,0.337406904
323-77,-1.65811875,18.35,0.1391,0.473783016
242-29,-24.500625,26.45,0.107,0.456730515
332-13,-68.954375,26.89,0.2657,0.344520837
404-37,-5121.27125,17.4827018,0.4608,0.425990611
321-29,-4489.715625,11.64,0.419,0.26548937
305-81,-44.71625,13.21,0.415,0.477978975
306-37,-124.996875,14.27,1.0089,0.315688044
306-69,-55.31375,14.15,1.2753,0.269609064
360-1,-2293.333125,15.2,0.287,0.302651525
270-65,-4939.539375,18.89,0.3812,0.102596983
254-1,-93.051875,21.0988823,0.3205,0.667617321
52-86,-4811.86435,18.712424,0.3785,(null)
139-55,-4292.712875,2.2744383,0.2333,(null)
139-38,-4390.477513,2.6591605,0.2286,(null)
146-81,0.1121,(null),0.2557,(null)
148-72,0.1121,(null),0.2088,(null)
148-77,0.1121,(null),0.5069,(null)
150-12,0.1121,(null),0,(null)
150-47,0.1121,2.9864522,0.1019,(null)
140-78,-4385.625488,5.5810354,0.1711,(null)
141-12,0.1121,(null),0.1421,(null)
141-6,-4309.497094,5.5890216,0.1408,(null)
221-55,0.1121,12.17,0.3002,0.239232853
324-29,-123.1825,17.54,0.12,0.108938955
146-45,0.1121,3.4,0.1668,0.112000912
147-25,-2891.413488,5.21,0.1523,0.128278017
144-6,-2889.26065,5.49,0.244,0.124202691
158-41,0.1121,1.37,0.132,0.207985863
158-46,0.1121,1.15,0.1568,0.257585943
163-68,0.1121,9.73,0.2196,0.207761228
167-21,-2466.979256,11.93,0.1616,0.175478548
2-33,-2666.720381,18.96,0.2351,0.397220969
43-33,-855.6535438,23.51,0.1466,0.263605893
66-34,-89.08125,22.3691601,0.483,(null)
12-57,-1473.061496,22.85,0.4441,0.140759096
52-73,-4503.859481,14.36,0.1872,0.454710931
83-33,-2592.998425,22.31,0.2678,0.157277286
88-15,-4635.068931,3.38,0.1903,0.149297163
82-34,-90.46125,22.3691601,0.1465,(null)
316-30,-3203.41205,9.8867298,0.5817,0.14141503
301-13,-1920.484375,25.16,0.5015,0.153761357
348-33,-976.41375,17.26,0.1671,0.314672142
142-37,0.1121,(null),0.1908,(null)
142-89,0.1121,(null),0.2915,(null)
166-29,0.1121,3,0.2316,0.1128015
164-51,0.1121,3.41,0.4428,0.185459241
212-49,-68.651875,15.9402019,0.1689,0.299833953
344-73,-57.818125,12.73,0.4895,0.371843457
143-65,0.1121,(null),0.1186,(null)
140-18,0.1121,(null),0.2013,(null)
148-20,0.1121,(null),0.3293,(null)
141-59,-4349.027138,6.9907576,0.1825,(null)
69-37,-2166.429031,17.49,0.3263,0.433080316
3-14,-109.67625,23.1715212,0.5609,(null)
6-61,0.1121,14.99,0.1673,0.328819752
206-61,-167.205,19.08,0.0944,0.411028802
2-92,0.1121,(null),0.5241,(null)
18-26,-799.36,22.1939517,0.2852,(null)
221-14,0.1121,15.13,0.2032,0.34137854
6-13,-1564.902119,17.11,0.113,0.301529914
2-37,-2251.218806,18.64,0.5446,0.449657351
9-29,-35.342675,19.24,0.1692,0.178302214
14-33,-829.2877375,26.24,0.4147,0.221009791
73-9,-609.9911813,16.26,0.2897,0.722963691
86-64,0.1121,8.61,0.325,0.150775373
88-19,-4640.196663,2.93,0.1805,0.154013574
92-33,-3758.091675,6.28,0.1664,0.110051185
108-57,-903.563025,14.7,0.1276,0.32679227
144-14,-3069.670194,4.79,0.2448,0.127496958
144-56,0.1121,4.02,0.1451,0.123043358
145-18,0.1121,1.6,0.1494,0.231672525
161-2,0.1121,5.29,0.1631,0.123685367
163-78,-4079.650188,9.76,0.1406,0.177370936
164-3,0.1121,6.11,0.2523,0.177052885
165-65,-4313.320156,10.72,0.1594,0.277744055
178-13,-67.915,17.45,0.1459,0.298713684
165-21,-2674.142856,11.75,0.1875,0.347356617
207-82,0.1121,9.26,0.3807,(null)
214-69,-54.83,16.1190908,0.2327,0.184864983
216-67,0.1121,6.92,0.1651,0.158698425
220-8,-4453.48295,1.52,0.1943,(null)
220-74,-4467.986438,-0.32,0.3957,(null)
219-29,-4469.224056,2.88,0.1494,0.204510912
219-75,-4362.2482,2.5,0.2941,(null)
367-57,-4684.4,17.32,0.3481,0.093826465
241-21,-80.043125,15.3033963,0.245,0.257047385
328-5,-99.109375,23.72,0.5378,0.197881624
373-41,-3133.584375,15.7907574,0.2186,0.157740504
358-33,-258.106875,19.9845073,0.2838,0.384839863
240-33,-498.775,26.63,0.3367,0.124783926
265-45,-5008.944375,17.3220074,0.2164,0.321478993
309-53,-70.511875,23.88,0.5107,0.426464558
315-54,-2818.739606,14.05,0.136,0.319257349
150-5,0.1121,(null),0.0987,(null)
142-9,-3821.828988,7.3949937,0.1781,(null)
147-85,-4269.507263,10.5881881,0.4924,(null)
140-61,-4207.4143,4.7955493,0.1417,(null)
140-48,-3915.174794,4.2188827,0.138,(null)
141-20,-4242.253206,5.7342299,0.1466,(null)
141-21,-4255.496925,5.7670771,0.1434,(null)
297-29,-66.880625,22.4531184,0.5375,(null)
384-17,-116.015625,22.1871462,0.267,0.280847877
157-12,-4442.972263,3.91,0.1637,0.186541244
157-13,-4464.614813,3.67,0.2061,0.130770355
160-1,0.1121,2.52,0.2666,0.294897109
77-13,-1761.49915,22.14,0.1908,0.220933661
66-42,-808.499375,22.2019378,0.5118,(null)
52-9,0.1121,14.08,0.2527,0.236808687
190-17,-2802.158363,17.29,0.2136,0.237560272
98-37,-943.439,23.7,0.1606,0.23058854
117-9,-5455.9267,17.47,0.2737,0.114705928
146-16,0.1121,2.2,0.1342,0.163158908
146-25,0.1121,2.45,0.1299,0.093052946
364-25,-2317.98375,19.9,0.8613,0.369510829
364-33,-511.0075,19.49,0.365,0.197926119
240-17,-48.050625,25.84,0.4178,0.625926971
298-37,-112.04375,21.04,0.3504,0.371212929
170-33,-5431.9896,17.77,0.1836,0.151426017
165-29,-2594.196663,10.82,0.1789,0.377155453
189-5,0.1121,16.02,0.1458,0.258682936
209-65,0.1121,1.26,0.3679,0.169400364
215-4,-3378.158225,11.45,0.1476,0.383902013
215-24,0.1121,9.88,0.3137,0.30670473
139-24,0.1121,(null),0.2491,(null)
149-89,-3626.258269,4.1524244,0.0892,(null)
45-5,-2339.401713,19.2,0.421,0.359966248
7-53,-1606.200794,22.95,0.179,0.381914049
19-78,-57.715,15.5115213,0.4861,(null)
98-30,-95.21,22.4256184,0.5011,(null)
176-49,-1738.6569,25.53,0.161,0.142271072
265-77,-2020.49125,17.7974241,0.4266,0.169432163
100-18,-2228.415,20.3024934,0.343230845,(null)
100-58,-796.190625,16.5499935,0.427180849,(null)
108-14,-1251.49625,20.0599935,0.437498192,(null)
108-94,-73.01125,15.3599936,0.508118802,(null)
112-25,-89.740625,15.2399936,0.398757203,0.339418918
112-9,-77.1775,15.4599936,0.436863471,0.466857284
12-58,-267.610625,22.2699934,0.159735008,(null)
135-18,-90.499375,22.5199934,0.426705578,(null)
135-26,-813.25875,22.3099934,0.161461937,(null)
136-14,-680.97875,16.5899935,0.367782155,(null)
136-2,-115.1625,17.6299935,0.543067418,(null)
136-38,-55.935625,15.7699935,0.264244482,(null)
13-62,-2619.52375,16.5749935,0.37263907,(null)
13-66,-289.0375,15.9699935,0.421899994,(null)
13-70,-75.14,15.6699935,0.513742189,(null)
14-26,-114.020625,22.2499934,0.151898427,(null)
14-66,-132.1275,22.6499934,0.279830453,(null)
15-18,-1850.51125,20.2499934,0.183166712,(null)
19-2,-147.951875,20.6999934,0.301348063,(null)
19-22,-3560.091875,20.8199934,0.246733257,(null)
28-2,-129.533125,22.2399934,0.430694375,(null)
2-22,-3254.918125,20.5899934,0.396795655,(null)
2-42,-435.08,18.8899935,0.554856423,(null)
2-54,-646.958125,17.4999935,0.390475385,(null)
2-82,-55.904375,15.7699935,0.501373852,(null)
2-86,-59.725625,15.7699935,0.603780192,(null)
3-18,-105.31875,22.8849934,0.334788595,(null)
3-2,-114.2325,23.5099934,0.340199542,(null)
3-22,-125.33875,22.3899934,0.337005381,(null)
3-30,-91.084375,22.2349934,0.419639892,(null)
412-13,-174.208125,23.4399934,0.145751907,0.101278149
412-17,-401.891875,22.6699934,0.135184519,0.081027366
412-41,-877.7375,22.3549934,0.201553177,0.077692121
412-49,-2051.93875,21.9699934,0.173348281,0.261733025
412-65,-123.349375,22.6199934,0.553004399,0.16413109
412-73,-128.445,22.0499934,0.429301223,0.273603857
43-42,-1179.988125,22.2299934,0.345223983,(null)
51-58,-239.528125,22.2549934,0.360548775,(null)
51-62,-185.726875,22.5149934,0.367683787,(null)
51-82,-144.7875,21.0499934,0.436006135,(null)
66-74,-123.55625,22.1099934,1.45484134,(null)
69-30,-3814.28,20.2049934,0.326314958,(null)
69-62,-2550.48375,16.4499935,0.564869559,(null)
69-74,-65.6575,15.5699936,0.381207719,(null)
77-78,-57.33125,15.7499935,0.281893655,(null)
77-86,-76.446875,15.7124935,0.249104968,(null)
82-54,-485.821875,22.2299934,0.178022575,(null)
82-70,-125.53875,22.7199934,0.313858385,(null)
83-26,-3801.490625,20.6349934,0.211991625,(null)
83-50,-139.735,18.5699935,0.429979015,(null)
98-14,-87.895625,23.3849934,0.29357333,(null)
43-43,0.1121,(null),(null),(null)
150-46,0.1121,(null),(null),(null)
150-50,0.1121,(null),(null),(null)
150-66,0.1121,(null),(null),(null)
1-21,0.1121,(null),(null),(null)
1-24,0.1121,(null),(null),(null)
1-32,0.1121,(null),(null),(null)
1-47,0.1121,(null),(null),(null)
1-8,0.1121,(null),(null),(null)
249-21,0.1121,14.638,0.61857,0.807824492
249-25,0.1121,14.7925908,0.58359,(null)
249-29,0.1121,14.6067658,0.58639,(null)
249-41,0.1121,14.2477097,0.35315,(null)
249-49,0.1121,14.4357168,(null),0.442352682
249-9,0.1121,14.1928326,1.0442,0.448239625
264-5,0.1121,14.9650617,0.29846,0.351826042
264-9,0.1121,15.0927933,0.29322,(null)
2-19,0.1121,(null),(null),(null)
2-31,0.1121,(null),(null),(null)
2-39,0.1121,(null),(null),(null)
2-71,0.1121,(null),(null),(null)
381-2,0.1121,(null),(null),(null)
390-49,0.1121,15.403466,0.49181,0.339444965
390-53,0.1121,15.4934516,0.6026,0.400752068
390-9,0.1121,11.7606478,0.26286,0.379413933
413-21,-2204.4121,24.0257618,0.218453769,0.385862976
413-33,-121.1880527,22.5162959,0.264809462,0.247784585
413-37,-132.6266622,21.9320182,0.576751615,0.177358121
414-1,-72,19.4797208,0.261659923,0.390094101
414-13,-73.69256354,18.2263074,0.522289231,0.303658813
414-17,-70,18.2017099,0.322922,0.195270211
414-25,-168.6399854,18.4329701,0.244422077,0.252144128
415-21,-5562.956709,18.0445039,0.15982,0.152791217
415-37,-5561.274316,18.1170352,0.13789,0.159115508
415-41,-5543.106503,18.0127939,0.14697,0.177694589
415-49,-5540.404033,18.0275045,0.15371,0.22633107
415-85,-5550.146573,18.9052788,0.15124,0.130166844
416-21,-5294.71255,18.9433359,0.12992,0.114026763
416-29,-5303.05629,19.1885429,0.13742,0.146221444
416-77,-3803.900013,19.9642379,0.16196,0.138792828
416-9,-4931.845105,18.6828785,0.12781,0.120504037
417-25,-4499.311399,26.2379712,0.12124,0.904826045
417-29,-2196.072574,26.227008,0.14725,0.576239109
418-45,-129.0793305,21.0816428,0.580406,0.813489079
418-9,-837.1733954,24.8553897,0.19923,0.152928635
5-20,0.1121,(null),(null),(null)
6-16,0.1121,(null),(null),(null)
6-24,0.1121,(null),(null),(null)
6-27,0.1121,(null),(null),(null)
6-39,0.1121,(null),(null),(null)
6-64,0.1121,(null),(null),(null)
6-68,0.1121,(null),(null),(null)
6-8,0.1121,(null),(null),(null)
6-87,0.1121,(null),(null),(null)
427-37,-58.18933413,14.5303617,(null),0.505764186
426-49,-291.1083758,20.7709885,0.3433,0.318314314
422-25,-2579.753328,11.7402106,0.39652,0.461051762
428-33,-4110.080694,15.2139567,0.28714,0.333273321
422-29,-2485.21705,11.1266477,0.41208,0.192860082
431-9,-524.9609299,21.8194005,0.38786,0.711859941
445-9,-163.1260386,16.61477612,0.5793,0.719374359
445-37,-4747.24244,14.59550835,0.47584,0.368826836
391-45,-4168.169503,11.17733144,0.30763,0.245453537
423-37,-3716.207969,14.50053631,0.62518,1.289540172
442-1,-179.9747354,22.37748892,0.20545,(null)
74-29,-1490.329713,14.46,0.1531,0.512400448
219-77,-4363.816694,2.53,0.2115,(null)
367-77,-3358.679375,18.6,0.4719,0.093899228
316-49,-4094.514375,11.59,0.4913,0.109083749
358-5,-77.89125,20.989299,0.348,0.461910009
130-9,-4616.377813,16.19,0.136,1.618682861
144-74,0.1121,3.48,0.4216,0.116102904
159-8,0.1121,0.93,0.1345,(null)
164-15,-4295.920881,4.93,0.2729,(null)
169-1,-57.2703875,17.44,0.277,0.617159009
167-32,-1434.184956,12.47,0.1843,0.41164887
182-13,-4561.700575,18.94,0.2691,0.119481511
159-13,0.1121,0.99,0.1507,(null)
161-5,0.1121,5.11,1.0085,(null)
163-32,0.1121,10.2,0.1326,0.237136289
162-75,0.1121,9.36,0.1396,0.221597061
346-29,-1138.196875,17.53,0.1524,0.453899294
159-5,0.1121,0.73,0.1269,(null)
219-57,-4255.730013,3.35,0.2979,(null)
391-49,-4006.984319,10.56686258,0.33101,0.289905339
449-85,-5556.066353,18.5219854,(null),0.148198277
455-9,-4413.322587,12.5831196,(null),0.355577677
455-13,-4564.341678,12.9777033,(null),0.457979113
94-37,-3935.894231,13.24,0.1245,0.245171413
92-31,-3731.162425,6.07,0.1629,0.10785532
360-25,-4723.960976,13.03,0.1603,0.178802237
206-33,-95.854375,19.33,0.326,0.450077236
81-41,-617.4735875,16.98,0.174,0.63023442
144-51,-3858.759325,3.89,0.1304,0.118232034
160-75,-4361.705294,4.35,0.1257,(null)
305-1,-138.27125,18.44,0.8065,0.554741859
443-13,-88.21646592,16.0396117,(null),0.129259989
446-9,-1556.958709,26.3332595,(null),0.108969048
446-21,-277.3941582,26.0980293,(null),0.760218501
446-53,-148.3787509,24.1422705,(null),0.215414509
448-1,-104.6582199,23.182121,(null),0.346238434
449-89,-5590.763016,18.5987013,(null),0.14966011
450-29,-458.8179027,25.9072271,(null),0.136980921
450-61,-495.8836974,25.325605,(null),0.371173471
455-57,-605.4903216,16.1190667,(null),0.573520422
465-17,-4891.565257,9.934420853,(null),0.151838169
465-29,-3458.318525,11.38275192,(null),0.157374054
316-76,-4442.168589,12.71753981,(null),0.238869518
456-53,-4625.852781,13.06973543,(null),0.2957775
456-25,-4187.894645,14.80143016,(null),0.627733171
456-57,-4674.355151,13.06934909,(null),0.299527347
456-5,-134.5511021,16.02482562,(null),0.762378991
90-13,0.1121,5.1,0.2252,0.270065814
158-69,0.1121,0.63,0.455,0.360285044
452-29,-5445.377933,17.04782613,(null),0.335943699
442-73,-52.7873173,17.57721169,0.2716,0.200365916
449-17,-5481.012439,18.2541853,(null),0.25181511
449-37,-5496.901679,18.4612399,(null),0.155417338
428-29,-3303.002319,15.5408936,0.27243,0.32873714
332-53,-106.6625,24.22,0.1965,0.28157264
158-36,0.1121,1.37,0.9281,0.182720616
366-21,-1757.8275,16.06,0.576,0.132286549
144-4,-2878.248525,5.56,0.2471,0.112943001
160-64,-4317.937294,3.98,0.1309,0.196803674
269-25,-79.049375,17.32,0.3727,0.183810681
403-21,-5560.520625,15.8431185,0.4918,0.227969944
129-13,-4882.524556,14.93,0.2541,0.96045059
162-65,-3612.039738,9.37,0.1927,0.157146722
325-73,-4405.034375,18.09,0.3431,0.109680519
416-69,-4398.035156,19.4677388,0.13953,0.185654342
438-21,-55.92721261,27.4291268,0.43647,0.265008688
426-5,-429.828693,21.5873022,0.35571,0.251591593
428-41,-5128.670354,14.8880742,0.26381,0.299025267
438-33,-51.70945299,27.3398041,0.33157,0.305589885
391-13,-4515.74973,12.49522708,0.31814,0.239732236
445-13,-1398.352057,15.62017914,0.61912,0.485759258
448-45,-99.69838364,20.8222977,(null),0.507899225
449-77,-5555.774451,18.6627939,(null),0.156859741
164-9,0.1121,5.5,0.1247,0.164215162
221-20,0.1121,14.65,0.257,0.410890579
315-9,-4306.819375,11.93,0.4616,0.322506309
221-69,0.1121,11.9,0.3175,0.19411777
145-10,0.1121,2.13,0.1365,0.347151309
92-39,0.1121,6.88,0.1643,0.086205378
160-35,-4343.163331,3.11,0.1552,0.139610931
323-1,-72.955,17.13,0.3482,0.16249378
240-37,-77.933125,27.59,0.2714,0.160515428
2-13,-1571.314344,19.72,0.3214,0.385987103
100-29,-3031.950044,18.84,0.1223,0.352683872
147-81,-4056.988863,10.19,0.3519,0.178086832
89-45,0.1121,6.13,0.137,0.120734744
216-58,0.1121,6.82,0.1099,0.168017045
216-87,-4346.361081,5.59,0.5972,0.176222786
431-33,-1443.195052,21.4953143,0.32209,0.623088956
445-5,-142.0925613,16.65901674,0.53159,0.671292245
441-13,-138.9167294,23.95039927,0.17298,0.112922996
443-33,-2312.156349,16.3032158,(null),0.212043703
446-17,-294.3478081,25.9834454,(null),0.209739685
448-17,-2789.207931,22.9976927,(null),0.152630612
450-33,-1435.098432,25.9676143,(null),0.125504807
90-20,0.1121,4.11,0.1124,0.194333822
392-53,-4752.1,20.2662434,0.3054,0.221390978
315-23,-4682.023069,12.02,0.3568,0.268087
346-81,-135.86,20.45,0.1136,0.632721066
254-41,-141.32,22.1963823,0.1145,0.163300037
321-44,0.1121,10.25,0.3733,0.236875221
91-21,0.1121,2.4,0.226,0.128824532
82-9,-639.3043813,28.1,0.3167,0.238550007
207-61,0.1121,9.44,0.3807,(null)
219-71,-4313.58955,2.07,0.5741,0.141157538
473-42,-4568.053909,3.232471532,(null),(null)
472-43,-4605.640703,5.237073707,(null),0.1456213
473-47,-4529.101936,3.270503903,(null),(null)
513-49,-2282.975425,25.56741199,(null),0.162404865
519-49,-5290.665142,13.39076195,(null),0.32514298
530-49,-495.4618473,16.55065138,(null),0.390265733
516-49,-1541.376047,21.95212559,(null),0.262677014
483-53,-48.4206,27.20753223,(null),0.603914201
473-57,-4569.045504,2.358981364,(null),(null)
480-57,-293.7755979,25.78669309,(null),0.14527145
472-58,-4364.74607,4.569077154,(null),0.118209235
472-60,-4491.309542,4.447185981,(null),0.121409677
469-61,-50.52444528,16.10289842,(null),0.184390262
483-61,-50.52175042,27.01370026,(null),0.415294141
391-24,-4529.836105,12.0099876,(null),0.321845502
391-39,-4226.212774,11.52178065,(null),0.346654922
391-44,-4109.319038,11.31285273,(null),0.281216741
266-57,-4786.313216,16.33904699,(null),0.225238919
481-65,-73.33369353,19.15166789,(null),0.35794875
467-65,-232.1401976,22.55978529,(null),0.394808412
482-65,-5589.948654,18.4665226,(null),0.11091049
516-65,-107.8141171,21.345178,(null),0.298510164
472-68,-4466.078482,4.168956327,(null),0.114269614
472-71,-4508.960647,4.176602056,(null),0.142910168
473-74,-4507.631564,1.261904492,(null),0.363916218
472-78,-4502.783094,4.05316466,(null),0.117355064
454-57,-4839.888292,9.984525,(null),0.292528391
473-9,-4366.02204,4.166261903,(null),0.116497897
517-9,-626.3814116,19.99043081,(null),0.546117604
519-9,-398.0738714,13.56807146,(null),0.303512663
391-26,-4469.468168,11.88318803,(null),0.433018714
266-53,-4515.70734,16.5689854,(null),0.24062787
501-9,-5718.685819,27.93491605,(null),0.181301743
464-53,-48.9729414,23.64204071,(null),0.123611204
472-9,-3874.134289,7.229187531,(null),(null)
471-7,-3450.442772,10.11797668,(null),0.255285889
493-5,-5657.180539,22.78265378,(null),0.120047584
391-10,(null),12.72199361,(null),0.23691234
391-16,-4526.626467,12.42742075,(null),0.266899854
391-20,-4632.099914,12.26592508,(null),0.264324367
473-4,-4409.340756,4.111459936,(null),0.091449946
489-1,-2490.805085,18.4169576,(null),0.179908365
470-1,-58.18587378,23.79526296,(null),0.598996162
464-17,-22.98801386,24.51973954,(null),0.305386543
494-1,(null),(null),(null),0.104292952
519-1,-49.03215569,13.25267515,(null),0.503587782
488-1,-4457.45041,17.89457689,(null),0.25971359
468-1,-148.2794656,19.55681608,(null),0.207201511
481-1,-57.66497614,24.47770671,(null),0.378851652
497-1,-5012.268874,25.74387651,(null),0.126958072
494-13,-3942.190252,23.89528279,(null),0.117531575
519-13,-665.4573678,13.54490016,(null),0.407114863
516-17,-121.2189004,23.01501385,(null),0.254572302
471-19,-3433.223297,9.435113686,(null),0.226914614
472-19,-4036.124575,6.280011745,(null),0.147324875
470-20,-424.651317,24.22666795,(null),0.149493441
471-20,-3422.669123,9.395441686,(null),(null)
473-20,-4466.874418,3.564600074,(null),0.153383896
478-21,-3363.264449,13.86133177,(null),0.232127652
505-21,-3512.231467,13.04123595,(null),0.612774551
459-25,-47.73899899,13.65290666,(null),0.479349911
517-13,-1451.2429,19.70174336,(null),0.550624251
489-13,-5078.913087,19.25721933,(null),0.134161025
504-13,-2551.063681,10.09767613,(null),0.194089308
496-13,-5003.198536,25.82673398,(null),0.108122878
495-13,-4940.239174,24.92365481,(null),0.121980838
472-15,-3973.619358,6.628699152,(null),0.163631931
473-21,-4486.667477,3.539114456,(null),0.154362664
472-21,-4121.115247,6.157852053,(null),0.139615059
473-22,-4491.245605,3.504119185,(null),0.142682925
481-25,-3034.304155,22.19552593,(null),0.156130686
519-25,-2190.011126,13.60588468,(null),0.317864895
530-25,-924.8192565,17.45834418,(null),0.447666198
514-29,-2537.029214,21.52979638,(null),0.161462143
483-29,-33.32540459,27.19126396,(null),0.494521171
483-33,-42.58128361,27.05455308,(null),0.331405997
470-34,-408.4946805,23.59840525,(null),0.147163853
472-34,-4556.310291,5.887772729,(null),(null)
516-41,-223.2765822,21.64883864,(null),0.287083834
517-37,-129.0460481,18.08288686,(null),0.979509473
520-41,-465.7858506,14.16416163,(null),0.412849635
473-80,-4510.931635,1.152772426,(null),(null)
516-81,-163.3612486,20.8296145,(null),0.488936424
473-81,-4510.794415,1.150823305,(null),(null)
469-81,-20.77252543,17.11560278,(null),0.336829573
470-82,-860.2049938,22.42392051,(null),0.454947263
471-84,-3688.503309,7.549692006,(null),0.211068362
472-84,-4462.451866,3.94429922,(null),0.138976127
481-85,-71.78525203,18.95421507,(null),0.197574273
471-85,-3705.994414,7.64771141,(null),0.222858921
470-86,-635.8876191,21.7190149,(null),0.281606048
470-92,-302.3262979,20.87354949,(null),0.266034693
391-28,-4447.026771,11.87152151,(null),0.257546067
391-50,-3902.323098,10.40938672,(null),0.300732464
418-34,-831.2627477,23.32243133,(null),0.186398372
465-41,-3192.775834,12.00371456,(null),0.188748166
472-59,-4452.77113,4.500161936,(null),0.11798916
391-2,-4715.554885,13.53495605,(null),0.704850316
478-9,-1616.784733,15.44798976,(null),0.545027494
469-13,27.14715811,14.84658601,(null),0.202081531
473-15,-4429.524337,3.934724868,(null),0.167931229
473-39,-4606.017255,3.43522613,(null),0.159717456
450-17,-494.622685,25.9529365,(null),0.144430429
3-25,-952.2972188,19.62,0.1754,0.469466239
68-1,0.1121,12.46,0.1652,0.310600817
45-58,-76.005,15.6297852,0.3465,(null)
86-63,0.1121,8.59,0.1158,0.147250742
88-28,0.1121,2.72,0.312,0.167185217
93-6,0.1121,9.11,0.2776,0.138199225
155-27,0.1121,5.85,0.214,0.129305139
158-35,0.1121,1.38,0.1631,0.187783673
159-46,0.1121,2.39,0.1326,(null)
160-38,0.1121,3.41,0.1274,0.149330646
160-67,-4348.949338,3.92,0.1309,(null)
163-88,0.1121,8.93,0.7719,0.164558411
165-52,-4551.430781,10.51,0.1557,0.290282965
162-18,0.1121,7.8,0.1931,0.204168111
162-69,0.1121,8.96,0.191,0.167406514
209-18,0.1121,2.52,0.159,0.100726768
216-73,0.1121,6.54,0.2851,0.144445747
206-49,-1281.21125,18.87,0.2883,0.316555977
220-62,-4414.135631,-0.2,0.1203,0.141510248
221-26,0.1121,13.94,0.2418,0.53768456
362-81,-51.621875,22.3584656,0.3924,0.4456909
373-109,-5539.74,14.9037436,0.2639,0.148617536
323-9,-72.019375,16.51,0.316,0.340784669
244-41,-174.120625,18.51,0.1041,0.245002046
268-57,-982.83,20.45,0.2517,0.268339247
332-29,-92.703125,25.57,0.2519,0.401894659
372-13,-432.819375,23.17,0.1917,0.6460554
402-61,-5528.763125,16.476938,0.1709,0.158486485
321-26,-4672.450244,11.71,0.4004,(null)
321-55,0.1121,9.51,0.4065,0.238119125
239-45,-39.6025,28.33,0.569,0.291330189
245-73,-3956.080625,19.36,0.4944,0.117492445
315-37,-4686.92375,13.09,0.4678,0.250759363
315-55,0.1121,14.11,0.3473,0.318857551
360-21,-4740.441875,12.94,0.3373,0.256866306
339-33,-50.328125,24.7621461,0.5344,0.567690194
324-25,-103.378125,17.55,0.2721,0.127392128
139-93,0.1121,(null),0.2138,(null)
148-49,-2565.418113,12.1611742,0.2351,(null)
150-75,0.1121,(null),0.0949,(null)
142-46,0.1121,(null),0.2026,(null)
142-91,0.1121,(null),0.2752,(null)
140-63,-4261.78755,4.884091,0.2126,(null)
141-36,-4312.861481,6.2181882,0.1418,(null)
343-37,-346.354375,21.02,0.1844,0.370788068
221-57,0.1121,12.14,0.2933,0.272434235
221-62,0.1121,12.02,0.1465,0.226025909
323-33,-142.92875,15.95,0.6528,0.222651988
325-13,-5058.02875,17.54,0.2053,0.073886484
325-65,-4527.224375,18.02,0.5224,0.122559011
158-51,0.1121,0.72,0.2738,0.251062214
159-76,0.1121,1.98,0.1551,(null)
163-76,0.1121,9.54,0.3258,0.154522553
165-75,-4196.730156,11.0723548,0.2419,(null)
167-30,0.1121,12.3,0.3033,0.282579631
167-60,0.1121,14.43,0.1632,0.826802254
2-84,0.1121,(null),0.1381,(null)
77-9,-1394.369719,21.49,1.1526,0.149933293
66-9,-678.5595813,21.85,0.1333,0.21820569
66-17,-456.079707,21.79,0.1706,0.20781599
66-57,-1475.32596,20.98,0.1897,0.384806991
51-73,-667.7033375,20.72,0.2562,0.407922834
94-42,0.1121,14.11,0.1324,0.622617722
86-32,0.1121,10,0.1744,0.114224322
91-49,-3193.258894,3.29,0.1623,0.187878236
117-13,-5502.56675,17.44,0.222,0.135321185
146-13,0.1121,2.16,0.1239,0.170775816
404-33,-5232.324375,17.5011046,0.3335,0.362814277
309-49,-72.375,23.7,0.2949,0.540460229
245-61,-1869.5375,19.42,0.1635,0.112826727
142-17,0.1121,(null),0.1565,(null)
142-22,0.1121,(null),0.1804,(null)
208-8,0.1121,9.8,0.172,(null)
208-10,0.1121,9.67,0.161,(null)
220-2,-4463.748469,1.52,0.2296,0.185414955
220-21,-4467.471688,0.97,0.1276,0.144704461
143-16,0.1121,(null),0.2474,(null)
140-28,0.1121,(null),0.1878,(null)
150-13,0.1121,(null),0,(null)
15-69,-179.1439625,19.35,0.2498,0.144367322
