NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
NSI20180913,11394,North Stradbroke,-27.345,153.562,2018-09-13 10:20:00
PHB20181120,11424,Port Hacking,-34.11923,151.22667,2018-11-21 09:24:00
NSI20190916,12234,North Stradbroke,-27.345,153.562,2019-09-16 10:20:00
DAR20191105,12717,Darwin,-12.4,130.76805,2019-11-06 07:38:00
NSI20091006,1112,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00
NSI20081119,1083,North Stradbroke,-27.345,153.562,2008-11-19 10:30:00
ESP20091216,1128,Esperance,-33.93333,121.85,2009-12-16 09:45:00
NSI20091015,1120,North Stradbroke,-27.345,153.562,2009-10-15 10:10:00
NSI20091101,1121,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00
MAI20100615,1216,Maria Island,-42.59667,148.23333,2010-06-15 11:10:00
ESP20090512,1104,Esperance,-33.93333,121.85,2009-05-12 12:10:00
MAI20110328,1309,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00
KAI20110319,1311,Kangaroo Island,-35.83217,136.44733,2011-03-20 09:40:00
NSI20110606,1330,North Stradbroke,-27.345,153.562,2011-06-06 10:00:00
KAI20111115,1368,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00
MAI20120524,1447,Maria Island,-42.59667,148.23333,2012-05-24 11:30:00
NSI20121114,1470,North Stradbroke,-27.345,153.562,2012-11-14 10:45:00
ESP20110512,1385,Esperance,-33.93333,121.85,2011-05-12 10:10:00
NIN20121107,1558,Ningaloo,-21.99,113.779,2012-11-07 12:00:00
YON20120615,1432,Yongala,-19.30847,147.61842,2012-06-15 10:41:00
DAR20130405,1757,Darwin,-12.4,130.76805,2013-04-05 09:40:00
NSI20140901,5621,North Stradbroke,-27.345,153.562,2014-09-01 10:10:00
ROT20140519,5831,Rottnest Island,-32,115.41667,2014-05-19 12:22:00
PHB20140824,5789,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00
NSI20150304,7385,North Stradbroke,-27.345,153.562,2015-03-04 10:30:00
ROT20140902,6695,Rottnest Island,-32,115.41667,2014-09-02 11:55:00
PHB20150121,7078,Port Hacking,-34.11923,151.22667,2015-01-22 09:48:00
PHB20150518,7862,Port Hacking,-34.11923,151.22667,2015-05-19 09:43:00
MAI20150723,7894,Maria Island,-42.59667,148.23333,2015-07-23 10:45:00
NSI20101115,1248,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00
MAI20101214,1306,Maria Island,-42.59667,148.23333,2010-12-14 11:05:00
ROT20101215,1322,Rottnest Island,-32,115.41667,2010-12-15 10:20:00
MAI20120724,1450,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00
MAI20120820,1451,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00
ROT20111122,1394,Rottnest Island,-32,115.41667,2011-11-22 15:08:00
ROT20110826,1391,Rottnest Island,-32,115.41667,2011-08-26 09:43:00
MAI20131117,3316,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00
